stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197,5330.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.93,0,0,0,0,0,0,0,0,0,0
  5-6,105.52,1327.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.75,17.23,0,0,0,0,33.77,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.41,0,9.64,0,0,0,4.35,0,0,0,0,237.12,0,0,0,0,0,0,0,0,0,0,0,187.8,7.99,0,0,17.8,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.02,0,0,0,0,0,0,0,0,296.13,0,0,0,0,0,0,0,0,0,0,0,390.49,0,0,0,14.13,0,0,0,0,0,3.87,0,0,0,0,0,0
 14-21,0,0,0,3.24,51.33,10.92,0,0.91,0,0,8.52,2.26,7.86,0,0,1.96,0,0,0,0,13.53,0,0,5.73,38.72,1.15,0,0,0,0,11.54,0,5.11,15.27,9.53,28.32,0,0,0,0,0
 24-34,0,0,1.52,0,9.69,0.95,0,8.61,0,0,6.13,1,3.66,0.92,2.17,0.64,0,0.72,0,0,13.14,0,0,6.22,72.59,0,3.35,0,0,0,48.37,0,0,24.03,0.66,27.91,0,0,8.2,0,16.68
 36-46,0,0,0.98,0.96,11.5,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0.57,0,13.52,0,0,1.42,32.92,0,3.69,0,0,0,61.29,0,0,10.21,0,13.28,0,0,2.72,0,7.86
 48-58,0,0,0,0,6.53,0,0,14.25,0.42,1.71,0.89,0.56,0.5,0.44,0,0,0,0,0,0,26.16,1.78,1.07,5.79,48.05,0,12.47,1.09,0,0,29.12,0,0,6,0,19.57,0,0,3.89,0,0
 60-70,0,0,0,0,6.65,0,0,24.12,0,0.75,3.94,0,0,2.58,0,0,0,0,0,0,32.83,0,2.76,4.39,23.7,0,6.58,0.91,0,0,26.92,0,0,5.45,0,7.67,0,1.06,4.3,0,10.85
 72-82,0,0,3.17,0,9.59,0.6,0,76.16,2.97,0,3.58,4.67,0.6,2.01,0,0.54,0.93,0.62,0,0,61.25,2.53,3.52,5.04,68.65,0,5.42,3.04,0,0,9.08,0,0,6.15,0,24.72,0,3.08,7.15,0,0
 84-94,0,0,1.46,0.59,8.08,2.76,0,10.31,1.82,0.65,14.84,4.31,0,1.92,6.72,1.43,2.69,1.57,5.16,0.83,36.38,3.29,9.14,8.29,60.28,0,6.71,3.46,0,0,45.97,0,0,3.96,0,1.6,0.78,0,7.39,6.73,0
 96-106,0,0,2.86,1.07,19.23,1.48,0,33.19,3.19,1.39,6.77,3.08,0,1.91,5.98,2.19,3.33,4.32,1.99,0,91.04,2.42,3.77,5.33,41.46,0,6.36,9.91,0,3,44.31,0,0,4.16,0,1.86,1.9,0,13.45,0,7.2
108-118,0,0,0.55,0.95,23.16,1.06,0.96,74.66,3.89,1.16,13.38,5.99,0,1.41,7.79,4.17,2.83,1.44,3.48,3.15,83.68,0.49,0,5.07,68.88,0,10.73,3.41,0,4.83,51.84,0,0,0.87,0,1.92,3.24,5.7,8.45,3.61,11.33
120,0,0,0,0,6.33,0,0,9.08,0,0,15.7,2.69,0,2.09,1.77,0,0,0,10.52,1.45,81.24,1.56,0,9.07,57.53,0,17.68,1.12,0,2.03,26.42,0,0,10.78,0,7.47,0,3.78,9.26,7.91,0
