stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,311.29,5264.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,543.01,8734.86,0,0,0,0,0,0,0,0,0,0,22.91,0,0,0,0,0,0,0,0,0,0,0,253.89,14.97,0,0,111.45,0,139.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,154.5,193.98,177.42,0,0,0,496.79,0,0,0,0,0,135.05,0,0,0,0,0,0,0,0,0,0,0,4563.72,83.96,0,0,1487.91,0,12.26,19.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,92.38,191.6,0,27.68,0,315.17,0,0,0,0,0,53.63,0,0,0,0,0,0,0,0,0,0,0,2472.2,54.86,0,0,948.55,0,9.46,28.97,4.56,72.66,0,4.93,5.32,0,0,0,0,0
 14-21,0,9.93,32.84,231.47,64.6,0,96.62,0,0,0,30.1,3,3.89,2.22,0.92,1.16,1.37,1.57,2.07,0,103.45,1.63,0,112.45,1553.82,20.65,2.6,16.48,43.27,0,101.38,1.53,210.22,25.14,0,170.79,441.8,0,0,3.54,0,0
 24-34,0,0.83,3.51,72.44,23.95,0,266.02,0,1.36,0,62.25,2.05,2.87,2.43,7.93,0.64,0.77,1.2,4.03,0,234.66,0,0,101.88,2400.12,12.18,15.02,22.72,0,0,167.09,0,2.32,2.48,2.26,9.23,585.46,0,0,49.76,0,6.02
 36-46,0,0,0,49.35,5.03,0,587.21,0,3.34,1.08,40.51,2.58,0,0,12.5,0,2.7,5.24,0.66,0,207.41,1.19,4.35,66.26,1612.7,10.31,5.02,5.06,0,0,64.13,0,0,0.92,0,0,401.72,0,0,20.55,0,5.09
 48-58,0,0,0.94,55.67,4.42,0,796.31,0,1.38,2.11,55.68,1,0,7.54,19.61,3.71,6.95,3.28,3.47,6.96,180.91,2.9,14.03,39.21,890.89,14.61,4.97,16.95,0,0,25.84,0,0,0,0,0,171.2,0,0,38.62,0,14.07
 60-70,0,0,0,70.39,1.65,0,647.42,0,0.58,3.88,66.74,5.68,0,1.7,2.59,0,17.27,2.83,0,0.71,213.79,0,18.52,21.72,441.81,5.44,0.6,8.6,0,0.71,19.72,0,0,1.87,0,0,40.48,0,0,11.38,1.54,2.96
 72-82,0,0,0,34.02,0,1.23,189,0.55,0.74,2.11,54.2,7.6,0,3.75,6.97,2.07,2.04,1.24,2.59,5.42,155.47,0,7.33,20.68,260.34,0.79,8.44,5.56,0,2.01,10.04,0,0,1.93,0,0,14.48,0,3.15,12.24,0,3.67
 84-94,0,0,0,39.29,3.54,2.1,183.15,0,0.86,0,28,11.75,0,2.61,16.36,7.46,5.08,2.65,5.37,0,139.12,0,8.59,16.87,212.89,1.02,4.97,13.82,0,1.01,9.99,0,0,3.19,0,0,5.43,2.21,1.55,28.98,1.07,0
 96-106,0,0,0,25.09,3.27,2.59,127.38,0,1.81,2.63,23.56,10.06,0,2.24,10.92,0,5.82,0.65,2.06,0,62.87,0,1.33,10.42,148.36,2.72,5.39,5.55,0,0,23.82,0,0,2.04,0,0,0.84,1.17,1.24,24.34,1.17,0
108-118,0,0,0,19.76,7.48,1,113.88,0,0,1.98,34.26,6.7,0,0.49,8.99,0,5.49,0.49,6.57,0.72,60.68,0,9.65,14.09,205.07,2.23,6.21,2.6,0,0,10.96,0,0,2.43,0,0,14.31,0.67,0,18.22,0,0.91
120,0,0,0,7.93,12.4,0,173.97,0,2.25,0,18.57,2.31,0,2.09,18.08,0,2.23,0,0,0,56.25,0,2.76,14.57,247.11,7.49,8.55,5.9,0,4.48,4.44,1.53,0,0,0,0,14.08,0,0,28.62,0,0
