stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,281.38,3746.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.83,0,0,0,0,0,0,0
  5-6,220.3,4074.09,18.7,0,0,0,0,19.06,0,0,0,0,0,0,0,212.7,17.23,0,25.7,53.44,0,0,0,0,0,0,0
  7-9,83.61,113.77,167.4,0,250.21,0,0,96.32,0,0,0,0,0,0,0,2679.75,156.94,0,1027.09,4.5,41.64,0,0,0,0,0,0
 10-12,0,18.75,41.31,0,106.77,0,0,24.19,0,0,0,0,0,0,0,465.59,16.98,0,176.23,0,9.99,0,14.44,0,0,0,0
 14-21,0,0,0,2.61,0,0,0,0,0.85,0,0,1.7,0,0,5.87,6.84,0,0,1.9,0,0,4.63,1.11,3.23,8.37,0,0
 24-34,0,0,0,0,0,0.83,0,0,0,0,1.33,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.85,0,0,0,0,0,0,0.57,0,0,0,1.87,0,0,0,0,0,0,0,0,2.29,0,0
 48-58,0,0,0,0,2.49,0,0.65,0,0,0,0,0.44,0,0,0,1.53,0,0,0,0,0,0,0,0,3,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0.84,0,0.65
 72-82,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.85,0,0,2.05,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.44,0,0,0,0,2.38,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.45,0,2.27,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0
