stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,4.66,1.82,0,0.96,0,0,0,0,1.11,0,0,0,1.78,4.15,19.66,0,0,0.84,0,3.86,0,5.43,7.02,0
 24-34,0,0,0,0,4.53,0,0,0,0,0,0,0.68,0,8.45,3.1,53.45,0,0,0,0.64,0,0,0,6.06,2.69
 36-46,0,0,0,0,8.09,0,0,0,7.83,0,0,0,0,3.7,0,56.24,0.87,0,0,0,0,0.88,0,5.68,0
 48-58,0,8.83,0,0,36.19,0.97,0,0.4,1.58,0,0.84,0,0,3.02,0.89,58.75,1.18,0.64,0,0,0,0,0,3.7,0.37
 60-70,0,0,0,0,168.27,0,0,0,3.24,3.09,0,0,0,4.05,1.16,34.9,0,1.45,0,0.58,0,0,0,4.74,1.31
 72-82,0,1.06,0,0,212.96,0,1.19,0,7.15,0,0,0,0,4.62,0,75.25,0,8.93,0,0,0,0,0,0,0
 84-94,0,3.99,0,0,295.38,0,0,0.89,3.84,0,0,5.99,0,1.18,1.88,38.4,0,1.91,0,3.65,0,0,0,4.83,0.65
 96-106,0,0,0,0,250.32,0,0,0,4.93,0,0,0,1.54,3.76,0,39.8,0,6.9,0,2.19,0,0,0,0,0
108-118,0,1.31,1.77,0.96,291.15,0,3.94,0.43,8.87,0.61,0,4.23,2.95,2.86,0.53,64.18,0,7.88,0,0,0,0,0,2.03,0
120,1.19,7.35,0,0,375.03,0,0,1.44,8.25,0,0,5.4,0,17.95,1.13,91.7,0,1.05,0,8.07,0,0,0,0,12.8
