stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,33.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.53,0,0,0,13.46,0,0,0,0,14.97,0,0,0,0,0
 14-21,0,0,15.82,0.92,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,3.13,0,0,1,2.81,0,0.86,0,1.7,0,0,0,2.94,10.58,11.1,0,0,0,0
 24-34,0,0.59,26.15,0,0,0.89,0,0,0.7,0,0,0,0,0.78,1.73,1.31,0,0,18.24,9.18,0,11.66,25.92,0,1.91,0.68,0,0,0,0,0,3.32,4.97,0,0,7.95,0
 36-46,0,0,12.43,0,0,0.67,0,4.42,0.8,3.35,0,0,0,0,0,0,0,2.13,70.84,0.95,0.8,16.66,48.16,1,3.7,2.41,0,0,0,0,0,0,9.68,0,0,0.73,0
 48-58,0,0,15.79,0,0,5.25,0,6.28,3.15,14.52,0.49,5.49,0,0,0,0,1.02,2.75,202,8.69,0,13.29,14.66,0,0.96,0.44,0,0,0,0,0,0,9.17,0,0,0,0
 60-70,0,0,19.57,0,0,3.14,0.63,1.1,0,7.31,0,0,0,0,3.54,0.66,0,0.59,227.94,0,0,5.14,30.53,0,0,0,0,0,0,0,0,0,1.7,1.72,0,1.57,0
 72-82,0,0,21.57,0,0,17.2,4.14,3.08,2.71,9.35,0,0,2.53,0.66,25.2,0,0,0.98,558.39,2.23,1.12,13.33,35.26,0.77,1.18,0,0,1.1,0,3.31,0,0,11.47,0,2.61,1.27,1.8
 84-94,0,0,29.9,0,0,7.79,0,0,3.93,7.07,0,0,0,0.69,14.95,0,0,3.32,453.35,0,0,6.93,27.47,0,0,0,0,0,0,0,0,0,0.65,6.23,1.26,0,0
 96-106,0,0,20.96,0,1.07,5.63,0,0,1.03,10.78,0.76,0,0,0,5.67,0,0.72,13.32,446.73,1.22,1.85,7.67,20.24,0,4.79,0,0,5.84,0,3.82,0,0,0,5.53,2.43,0.6,0.81
108-118,0,0,10.08,0,0,6.3,0.64,2.19,1.64,9.8,0,0,0.92,1.58,54.56,0,0,0.61,534.13,0,3.62,12.05,35.64,0,0.53,1.14,0,0,0.42,0,0,0,0,0,5.43,0,0
120,0,0,17.99,0,0,11.79,0,0,0,4.08,0,0,0,0,40.08,0,0,10.94,381.81,0,0,8.66,22.35,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0
