stage,axial,blastomeres,erythrocytes,eye,fast.muscle,glial,heart,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,87.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.35,13.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,1.84,0,0,0,1.4,0,1.22,1.15,0,0,0.81,0,16.76,3.22,0.95,0
 24-34,0,0,0,0,0,0,0,1.53,0,0,9.09,0,0.85,0,0.72,0,1.47,1.85,0
 36-46,0,0,0,0.97,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0.77,0
 48-58,0,0,0,2.46,0,0,0,1.64,0,0,6.06,0.61,0,0,0,0,0,0.46,0
 60-70,0,0,0,16.34,0,0,0,1.66,0,0,9.08,0,0,0,0,0,0,0,0
 72-82,0,0,3.54,7.92,0,0,0,4.09,0,0.74,0.68,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.55,9.14,0,0,1.84,1.94,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.87,1.85,0,0,1.95,0,2.63,1.8,0,0,0,0,0,0,0,0
108-118,0,0,0,4.43,3.82,1.52,0.99,1.52,0,1.32,5.96,0,0,0,0,0,0,0,1.57
120,0,0,0,4.36,12.59,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0
