stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.69,79.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0
  5-6,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.36,5.72,0,0,3.27,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.48,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15.17,0,0,0,24.95,0,6.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.84,0,0,1.09,0,0,0,0,0,0,0,0,0,0.98,0,1.68,0.95,3.49,0,0,0,1.47,0,2.99,0,0.92,3.85,0,0,0,0
 24-34,0,0,1.23,0,0,0,0,0,0,1.32,0,0,0,0.68,0,0.89,0,3.58,0.61,1.14,5.36,0,0,0,0,0,0,0,0,0,5.42,0,0,3.06,0
 36-46,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0.66,0,3.44,7.14,0,0,0,0,0,0,0,0.58,0,0.72,0,0,0,0
 48-58,0,0,0,0,1.21,0,0,0,0,0.51,0,0,0,0,0,0,0,0.75,0,0,8.53,0.6,0,0,0,0,0,0,0,0,0.53,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.43,0.58,0,2.52,0,0,0,0,0,0,0.91,1.1,0,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.69,1.16,0,0.86,0,1.34,2.53,0,0,0,0,0,0,1.59,0.61,0,12.21,0,1.38,0,0,0,0,0,0,0,2.17,0.53,0.73,0,0
 84-94,0,0,0,0,0,4.54,0,2.5,0,0,10.5,0,0,0,0,0,0,1.13,0,0,0.57,0,1.84,0,0,0,0,0,0,0,0,0,0,0,1.21
 96-106,0,0,0.94,0,0.65,1.39,0,1.37,1.45,0.62,6.36,1.05,0,0.79,1.18,0,0,0,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
108-118,0,0,0,0,0,0,3.8,0,0.44,1.27,3.37,0,0,0,1.19,0,0.73,5.06,0,0,17.34,0,1.6,0.72,0,0,0,0,0.68,0,0,0,0,0,1.43
120,0,0,0,0,0,0,0,3.09,0,0,20.6,0,0,0,0,0,0,0,0,0,22.14,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0
