stage,axial,blastomeres,epidermis,eye,glial,lateral.line,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,21.95,858.76,0,0,0,0,0,0,0,0,0,56.28,0,0
  5-6,0,249.65,0,0,0,0,0,0,0,7.49,0,14.93,0,0
  7-9,0,0,0,6.9,0,0,0,0,0,53.76,12.75,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,32.2,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,8.19,0,0,0,0.81
 24-34,0,0,0,0,0,0,0,0,1.22,0.83,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.03,0,0,0.81,0
 48-58,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.67,1.15,0,0,1.1,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.06,1.64,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0
 96-106,0,0,1.2,0,0,0,0,0,0,0.75,0,0,0,0
120,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0
