stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,22.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.32,9.23,0,0,11.16,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.99,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.73,0,1,0,0,1.02,0,0,0,0,0,1.41,0,0,0,0,1.46,23.18,1.09,0,0,0,0,0,1.18,0,1.78,1.15,4.27,0,0,0,0,0
 24-34,0,0,0,1.38,4.19,0,1.31,0.8,0,1.33,0,1.35,0.6,0,0,5.67,0,2.84,0,0,0.69,17.77,5.16,0,0,0,0,2.43,0,1.43,0,0,5.73,0,0,2.4,0,0
 36-46,0,0,0.85,0,20.39,0,8.02,0,0,1.99,0,0.9,1.8,0,0,2.68,0.7,10.42,0,0.83,0.66,40.6,26.09,0,0,0,0,0.86,0,7.01,0,0,6.08,0,0,1.19,0,0
 48-58,0,0,0,0.43,8.97,1.76,18.29,0,0.85,8.87,0,0,0.38,0,1.22,0,5.59,44.05,0.82,0,0.45,42.36,45.09,0.42,0.53,0,0,0.89,0,1.02,0,0,13.43,0,0,0.58,0,0
 60-70,2.52,0,0,0,28.4,0,13.44,2.6,6.87,28,1.97,0,0,0,0.79,0,7.54,110.43,0.62,0.64,0.75,49.87,19.73,0.61,2.58,0,2.61,0.92,0,0,0,0,5.8,0,1.03,1.63,2.76,0.72
 72-82,0,0,0,0,35.12,0,17.49,0,12.72,88.42,0,0.7,0,0,2.46,9.25,0.49,219.84,1.31,1.62,8.63,51.75,15.09,1.05,15.77,0,3.66,0,0,0.5,0,0,3.32,0,3.51,1.15,0.53,0
 84-94,0,0,0,1,80.52,1.79,18.67,3.45,5.7,44.76,10.43,0,0,0,1.56,0,21.87,213.47,9.42,13.18,4.17,45.53,31.07,1.99,6.97,0,13.88,0.66,0,6.89,0,0,7.75,0,2.27,3.77,5.33,2.42
 96-106,0,0,0,0,68.94,0,15.15,0,14.74,137.31,8.7,0,1.41,1.28,1.91,0,14.74,206.98,2.87,4.34,4.21,62.87,14.28,6.6,19.18,0,4.2,3.77,0,0.82,0,0,16.88,0,0,4.72,11.02,0
108-118,0,0,0.6,3.29,84.59,0,16.13,5.53,12.66,85.9,20.68,0.74,0.49,2.37,7.59,0,29.14,271.5,2.54,4.01,8.2,66.52,14.67,3.93,13.01,0,7.63,6.94,0,6.14,0,0,5.58,0.89,3.63,1.67,12.03,0
120,0,0,0,1.28,77.51,0,5.41,15.68,22.69,76.24,16.01,0,0,3.86,3.53,0,20.38,278.51,0,2.47,16.09,39.96,27.11,0,16.37,0,9,0,0,5.8,0,0,0,0,0,0,7.07,0
