stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.11,1948.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.86,0,0,0,0,0,0,0,0,0
  5-6,95.03,2303.71,0,0,0,0,0,0,0,37.38,0,0,0,0,0,0,0,0,0,38.42,6.07,0,9.67,85.33,0,0,0,0,0,0,0,0,0
  7-9,27.12,0,12.25,0,0,24.71,0,0,0,88.06,0,0,0,0,0,0,0,0,0,477.67,20.85,0,159.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.62,0,0,26.88,0,0,0,5.54,0,0,0,0,0,0,0,0,0,229.19,15.74,0,63.36,5.41,3.03,0,11.28,0,0,0,0,0,0
 14-21,0,0,1.22,38.02,8.37,3.58,0,0,0.99,0,3.02,0,1.18,0,0.94,15.33,0,0,5.46,56.95,2.78,2.1,0,0,0.99,12.57,0,6.98,30.95,11.68,0,0,3.62
 24-34,0,0,0,7.82,0,4.56,0,1.54,0,0,0,0.6,0.6,0,4.86,10.32,0.68,0,1.74,82.55,0,0,0,1.27,0,0,0,0,2.33,14.52,4.37,0,2.18
 36-46,0,0,0,1.38,0,2.27,0,3.1,0,0,0,0,0,0,0,5.55,0,0,1.74,56.43,0,0,0,1.99,0,0,0,0,0,22.3,5.98,0,0
 48-58,0,0,0,0,0,3.56,0.9,6.33,0,0,0,0,0,0,1.66,8.86,0,0,0.51,20.32,0,0,0,0,0,0,0,0,0,0.77,4.5,0,2.64
 60-70,0,0,0,0,0,2.58,1.23,1.8,0,0,0.7,0,0,0,0,9.79,0,0,0,7.53,1.83,0,0,1.18,0,0,0,0,0,3.07,0,0,0
 72-82,0,0,0,0,0,6.64,0,3.25,0.63,0,0,0.61,0,0,0,24.65,0.58,0,0.7,11.89,0,0,0,0,0,0,0,0,0,0,1.51,0,0
 84-94,0,0,0,1.06,0,4.1,0,0,0.68,0,0,0,0,0,0,15.88,0,0.65,0,14.39,0,0,0,8.99,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.03,0.76,0,15.32,0,5.34,0,0,1.46,1.56,0,0,0,8.59,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,3.71,5.06,0
108-118,0,0,0,0.86,0,12.83,0,13.06,0,0,0,1.69,0,0.41,3.7,9.53,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,3.99,0,1.16
120,0,0,0,23.98,0,0,0,4.5,0,0,7.84,0,0,0,0,17.13,0,0,2.53,6.68,0,0,0,0,0,0,0,0,0,0,0,0,6.96
