stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,381.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10,352.18,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,33.83,28.94,0,0,9.28,0,40.05,0,0,0,0,0,0,0,0,0,0,0
  7-9,159.82,9.46,0,21.91,0,0,0,41.64,0,0,0,0,143.23,0,0,0,0,0,0,0,0,0,0,0,421.62,63.3,0,0,247.71,0,27.24,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.9,0,79.52,0,27.17,0,50.93,0,0,0,0,179.76,0,0,0,0,0,0,0,0,0,0,0,738.82,185.78,0,0,382.38,0,3.81,11.9,4.75,35.24,0,0,5.32,0,0,0,0,0
 14-21,0,0,0,1.73,19.4,7.41,0,4.15,0,0,3.02,0.87,11.45,1.81,0,3.69,0,0,0,0,5.7,0,0,2.83,44.15,8.34,0.86,0.88,0,0,6.58,0,5.34,0,0,1.01,27.37,0,0,0,0,0
 24-34,0,0,1.62,1.59,6.92,0,0,14.32,0,0.74,1.35,0,1.76,0,1.47,3.19,0.63,1.23,2.01,5.95,10.04,3.53,0,7.74,238.78,5.09,6.22,2.06,0,0,37.58,0,0,0.98,0,2.74,71.22,0,0,8.63,0,3.51
 36-46,0,0,0,0.63,15.96,0,0,31.95,0,1.09,14.04,0,0,1.28,9.86,1.97,0.57,0.75,0,25.26,9.07,0,0.74,3.38,539.29,0.71,4.8,0,0,0,55.07,0,0,2.42,0,0,122.67,0,0,0.56,0,1.5
 48-58,0,0,0,0,9.66,0,0,170.73,0,1.28,27.49,0,0,1.45,4.88,0,0.47,0,0,6.93,22.65,1.94,0.55,2.38,554.73,8.61,3.51,3.51,0,0,19.58,0,0,2.28,0,0,108.16,0,0,2.34,0,6.85
 60-70,0,0,0,0,7.57,0,0,442.04,0,3.69,27.76,5.53,0,1.17,1.74,5.11,9.35,1.02,0,6.77,45.27,2.4,0,1.22,615.79,0.66,4.4,3.39,0,0,19.5,0,0,0,0,0,129.26,1.38,3.94,20.21,0.8,17.23
 72-82,0,0,1.8,0,23.23,7.71,0,418.23,2.09,4.45,32.4,4.45,0,3.64,5.57,1.09,6.46,0,0,0,48.02,2.12,0.51,0.54,479.66,0,2.85,1.86,0,0.87,15.94,0,0,0.73,0,0,77.09,3.86,1.15,8.09,0.84,9.93
 84-94,0,0,0.7,0,16.77,1.35,0,362.18,3.82,1.6,37.52,9.91,0,0.85,5.02,1.03,1.78,1.41,3.68,0,60.46,6.43,3.61,0,482,0.67,7.04,9.76,0,0.79,48.88,0,0,2.12,0.63,0,83.41,2.15,5.5,6.68,3.48,1.31
 96-106,0,0,2.46,0,14.88,4.54,0,377.26,4.76,0.66,56.85,3.42,0,0,14.54,4.94,1.77,5.27,0.97,0.65,37.25,2.5,0.66,5.64,333.48,0,8.31,10.02,0,1.94,52.57,2.06,0,0,0,0,25.57,2,1.89,8.66,4.45,0
108-118,0,0,0.72,0,21.04,1.04,0.57,293.81,2.1,2.65,52.84,12.17,0,0,4.26,3.68,3.15,1.58,1.1,4.61,48.58,0.53,4.96,2.53,489.97,0,6.56,3.39,0,4.16,42.22,0,0,0,0,0,21.21,2.44,0,9.4,1.86,8.13
120,0,0,0,0,11.68,1,0,247.74,8.1,0,86.3,9.87,0,4.47,16.81,4.27,1.17,6.63,0,0,35.08,0,0,5.22,712.8,2.33,18.68,9.71,0,0,34.74,0,0,2.4,0,0,15.08,7.41,10.67,13.77,0,0
