stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.62,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0
  5-6,14.88,235.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,13.82,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.95,0,0,0,9.42,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0.97,0,0,0,0,0,0,0,0,6.72,0,0,0,0,0,0,1.25,0,0,0
 24-34,0,0,0.64,0,0,0,1.06,0,0,0,0,0,1.03,0,0,4.62,12.23,0,0,0,0,2.36,0,0.68,1.15,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,7.93,7.74,0.95,0,0,0.95,1.38,0.6,5.74,0,0
 48-58,0,0,0.6,0,0,0.51,4.56,0,0,0,0,0,0.94,0,0.54,0.59,13.77,0,0,0.87,0,0,0,2.54,1.38,0,0
 60-70,0,0,0,0.6,0,0,2.35,0,1.05,1.16,0,0,2.05,0,0,0,9.38,0,1.23,0,0,0,0,0,5.3,0,0
 72-82,0,0,0,0,0,9.61,3.53,0,0,0,0.94,0,15.84,0,2.92,5.7,6.91,0,0,0,0,4.84,0,1.16,3.47,0,0
 84-94,0,0,0,0,0,5.4,0,0,0,0,0,0.67,4.6,0,0,0,20.79,0,1.05,0,0,0,0,0,5.06,0,0
 96-106,0,0,0.6,0,0,9.28,3.03,0,0,0,0,0,0.88,1.13,0,0,7.51,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.45,0,0.85,0.76,0,0,0,0,0,0,13.96,0,1.38,0,7.69,0,0,0,0,5.78,0,0,0,0,1.37
120,0,0,0,0,0,0,5.89,0,3.84,0,0,0,2.07,0,1.45,0,26.67,0,0,0,0,0,0,0,0,4.54,0
