stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,7.32,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,29.27,0,0,0,0,0,0
 14-21,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,1.01,0,0
 24-34,0,2.62,0,0,0,0,0,0,0,0,0,0,0.67,1.79,0,0,0,0.61,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.72,0,0,3.83,0,0,0,3.64,0,0
 48-58,0,1.69,1.52,1.29,0.67,0,0,0,0,0,0.49,0,0,8.53,0,0,0,2.25,0,0
 60-70,0,0,0,13.82,0,0.82,0,0,0.63,0,5.14,0,1,17.96,0,0,0,8.03,0.79,0
 72-82,0,0,0.49,1.03,0,0,0.6,0,0,0,1.65,0,0,11.77,0,0,0,0,0,0
 84-94,0,1.66,3.08,1.25,0,0,0,0.86,0,0,3.41,0.72,0,11.94,0,1.66,0,0.8,0,0
 96-106,0,0,0,3.49,0,0,0,0,0,0,0,0,0,3.33,0,1.73,0,2.65,0,0
108-118,0,0,0,0,0,0,2.75,0,0,0.78,0,0,0,6.37,0.74,0,0,1.73,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.92,5.12,0,8.08,0,0,0,3.64
