stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,43.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,5.93,0,4.92,0,0,0,0,0,0,0
 10-12,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,3.71,0,0,0,0,0,0,0
 14-21,0,0,0,1.43,4.08,0,0,0,0,1.08,1.66,0,0,1.18,1.85,3.08,0,0,0,0,2.15,5.43,0.8,0,2.61,0
 24-34,0,0,0,0.63,0,0,0,1.79,0,0,0,5.65,0,0.64,0.64,12.57,0,1.45,0,0,0.83,0.72,8.39,0,2.73,0
 36-46,0,0,0,0,0,1.39,0,0.66,0,0,0,0,0,2.89,0,18.41,0,0,0,0,0,0,17.35,0,0,0
 48-58,0,0,0,0,0,0.81,1.19,5.63,0,0,0,0,0,1.13,0.41,17.05,0,0,0,0,1.14,0,9.01,0,0.94,0
 60-70,0,0,0,0,0,0.95,0,2.47,0.96,0,0,0,0,2.61,0,2.33,0,0,0,0,0,0,4.36,0,1.8,0
 72-82,0,0.54,0,2.81,0,3.5,0,0,0.7,0,0.98,0,0.51,5.51,0,5.51,0,0,0,0,0,0,3.52,0,0,0.54
 84-94,0,1.19,0,5.01,0,0.97,0,0,0,0,0,0,0,1.99,0.59,1.12,0,0,0,4.95,0,0,2.91,2,1.71,0
 96-106,0,0,0,3.28,0,0,0,0,0,0,0,0,0,6.26,0,0,0,0,0,0,3.12,0,0,0,0,0
108-118,0,0,0,0.42,0,2.86,0,0.6,0,0,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,6.13,0,0,0,5.29,0,1.79,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0
