stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.8,2637.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.66,920.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.35,0,0,0,0,43.34,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,46.18,0,0,0,12.16,0,12.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.52,0,0,0,36.18,0,15.36,0,0,0,21.21,0,0,0,0,0,0
 14-21,0,0,0,2.54,11.09,0,4.68,0,0,0,0,0,0,0.89,0,0,2.4,0,5.78,11.23,7.71,3.9,0,0,3.84,0.9,20.14,3.52,204.31,253.46,1.93,0,0,0,0,0
 24-34,0,0,0.67,3.7,0,0,3.95,0,0,0.6,0,0,0,0,0,0.64,4.97,0,6.08,20.37,1.43,0.61,0,0,0,0,0,0,10.06,15.45,7.57,0,0,0,0,0
 36-46,0,0,0,1.46,0,0,3.92,0,0,0,0,0,0,0,0,0,4.97,1.43,3.5,14.48,0.88,0.61,0,0,1.36,0,0,0,9.81,0,8.36,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.1,0,0,3.44,0,0,0.37,0,0,0,7.31,3.24,1.71,6.91,0,1.2,1.05,0,0,0,0,0,0,0,3.52,0,1.01,0,0,0.84
 60-70,0,0,0,3.36,0,0,22.13,0.58,0,1.03,0,0,0,0,0,0,11.6,4.3,14.14,14.58,0,2.01,0,0,0,0,0,0,0,0,6.49,0,0.65,0,0,0
 72-82,0,0,0.95,0,0,0,25.46,0,0,2.72,0,0.6,0.73,0,1.36,0,13.76,0.94,1.77,19.43,0,2.34,1.57,0,0,0.56,0,0,0,0,7.26,0,0,0,1.95,0
 84-94,0,0,0,1.31,0,0,13.56,1.92,1.31,3.36,0,0,1.94,0,0,3.32,5.83,1.44,2.12,9.14,0,0.66,3.66,0,0,0,0,0,0,0,0,0,1.07,0,4.64,0
 96-106,0,0,0,1.38,0,0,12.41,0.59,0,2.27,0,0,0.95,0,0,1.3,7.05,1.11,0.7,15.97,0,1.89,0,0,0,0,0,0,0,0,2.12,0.58,0,0,1.12,0
108-118,0,0,0,0.53,1.95,1.12,26.86,0,0,1.77,0.97,0.69,0,0,0,0,16.59,0.46,2.01,15.37,0.5,4.03,0,0,0,1.18,0,2.09,0.69,0,0,0,1.04,4.23,0,0
120,0,0,0,2.13,0,0,18.15,4.92,0,0,1.18,0,1.43,0,1.23,0,43.56,0,4.54,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,0
