stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,mesenchyme,mucous,mural.cell,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,13.05,0,0,5.09
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1.03,0.85
 24-34,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0.75
 36-46,0,2.33,0,0,0,0,0,0,0,0,1.01,0,0,5.33,0,0
 48-58,0,8.36,2.29,0,0,0,0,0,0,0.42,2.41,0,0,0,0,0
 60-70,0,6.61,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
 72-82,0,12.56,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0
 84-94,0,28.07,0,0.63,0,0,0,0,0,0,0,0,0,0.59,0,0
 96-106,0,65.5,0,0,2.51,2.59,0.58,0,0,0,1.23,0,0,0.66,0,0
108-118,0.59,17.34,0,0,0,0,0,0.84,3.17,0,0,0.67,0,1.15,0,0
120,0,19.1,0,0,0,0,0,0,1.49,0,0,0,0,2.61,0,0
