stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,0,100.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,178.36,0,0,0,0,0,25.08,0,0,14.82,0,0,0,0,33.38,0,0,0
  7-9,5.53,0,5,0,0,0,0,0,0,0,39.83,9.46,0,0,19.81,0,0,0,0
 10-12,0,0,15.65,0,0,0,0,0,0,0,42.48,5.7,0,0,28.94,0,0,0,0
 14-21,0,0,0,7.46,0,0.91,0,0,1.98,0,3.31,0,0,0,0,2.48,2.18,0,2.95
 24-34,0,0,0.83,2.83,1.39,1.19,0,0,4.46,0.62,6.43,0,0,0,0,0.92,0,0,0
 36-46,0,0,0,0,0,0,5.06,0,0,0,2.6,0,1.35,0,0,9.83,0,0,0
 48-58,0,0,0,7.56,0,0,3.44,0,8.85,0,1.54,0,0,0,0,2.51,0,0,0
 60-70,0,0,0,1.34,0,0,3.15,0,0,0,2.13,0,0,0,0,0,0,0,1.85
 72-82,0,0,0,0,0,0.9,2.87,0,2.13,0,3.3,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.31,0,0.7,2.44,0,0,0,2.11,0,0,0.87,0,0,0,0.64,0
 96-106,0,0,0,0.68,0,2.7,0,0,0.74,0,0.92,0,0,0,0,0,0,0,0
108-118,0,0,0,2.29,0,0,3,0,0.96,0,11.88,0.77,0,0.78,0,0.73,0,0,0
120,0,0,0,1.98,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0
