stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,35.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,3.66,0,0,0,0,0,0,0.93,0,7.19,0,0,1.06,8.14,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.25,1.71,0,0,0,0.67,0,0,3.15,0,11.1,0,0,0,2.63,0,3.47,1.52,1.65,0.61,0.87,0,0,0
 36-46,0,0,0.86,0,0.8,0,0,0,0,0,3.33,0,11.04,0,0,3.73,10.92,3.61,1.47,15.24,0,0.56,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.55,4.67,0,10.15,0,0,1.47,8.9,0.79,2.3,0,0,0,0,0,0,0
 60-70,0,0,0.83,0,0,0,0,0,0,1.61,3.02,0,14.39,0,0,0.83,25.95,0,0,1.75,0,0,0,0,0,0
 72-82,0,0,24.01,3.42,0.55,1.02,0.62,0,0,0,1.57,1.36,12.98,2.08,0,0,9.9,1.33,0.76,1.19,0,0,0,0,0.81,0
 84-94,0,0,33.85,7.33,0.59,1.5,1.32,0,0,0.75,0,5.87,2.12,1.65,0,0,6.22,1.83,9.35,15.37,0,0,0,0,0,0
 96-106,0,0,120.75,1.35,2.2,4.21,0,0,1.7,0.67,5.58,12.89,10.2,13.87,0.57,0.67,17.54,3.54,0.85,47.58,0,0,0,0.66,0,0.81
108-118,0,0,147.87,7.49,1.21,0,4.01,0,4.98,5.46,1.37,17.38,9.98,3.37,0,2.01,17.7,0.63,3.81,22.59,0,0,0,0,0,0
120,0,1.66,59.46,0,0,0,8.33,0,0,7.65,0,3.92,18.57,0,0,1.83,5.09,1.15,4.08,75.11,0,0,0,0,0,0
