stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,169.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,6.08,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.81,0,0,0,33.7,0,71.44,7.46,0,0,0,0,0
 14-21,0,2.08,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,384.67,0,0.98,0,0,0,0
 24-34,0,0.69,0.81,0,2.43,0.99,0,2.23,3,0,0,0,0,0,2.59,0,0,0.65,1.3,1.17,32.27,0,2.31,1.43,0,0,704.3,0,10.19,0,11.4,0,0
 36-46,0,13.15,0,0,0.67,8.35,3.82,0,1.89,0.59,0.65,8.54,0,0,2.71,10.06,0,2.5,2.52,0,60.43,0,6.65,1,0,0,770.33,0,4.32,0,1.83,0,0
 48-58,0,8,0,0,4.93,17.1,1.48,2.58,0,0,0,0,2.29,0,4.18,0,0,1.98,0.38,0,37.2,0,1.84,0.42,0,0,442.33,0.74,4.5,0,9.81,0,0
 60-70,0,29.58,0.67,0,13.23,11.47,0,1.58,0,0,0,3.07,1.4,0,7.61,0,0,0,0,0,10.16,0,1.19,2.15,0,0,434.55,0,0,2.13,6.65,0,0
 72-82,0,34.33,7.93,0,8.52,9.74,0,4.43,8.39,0,0,1.77,0.56,0,10.81,0,0,3.3,0,0,22.76,0,2.36,0,0,0,368.23,0,0,6.82,2.02,0,0
 84-94,0,70.56,6.49,0,13.23,43.77,0,0.73,24.11,0,0,10.81,3.63,0,12.28,0,0,7.08,3.27,1.58,18.44,2.58,12.19,4.24,0,0,826.16,0,0,2.38,3.36,0,3.27
 96-106,0,113.85,3.14,1.93,3.51,28.77,0,14.74,20.57,0,0,25.39,5.2,5.77,8.48,0.63,0,3.4,5.16,1.81,12.97,0,18.78,7.5,0,1.28,677.18,0,1.14,8.2,5.64,1.67,0.98
108-118,0,107.91,4.23,0,3.38,54.55,0,23.51,33.49,0,0,28.21,10.27,10.32,22.73,0,1.01,10.38,10.39,1.98,38.39,0,4.37,4.96,0,0,577.06,0,0,16.54,2.19,0,5.4
120,0,77.19,6.63,0,20.28,45.71,15.43,26.71,19.84,0,0,33.93,5.96,1.05,18.77,0,0,0,4.77,0,21.2,0,5.37,10.34,0,0,473.6,0,0,5.99,2.69,8.46,0
