stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,77.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.07,10.92,0,5.71,0,0,3.25,0,0,15.95,0,0,0,0,0,0,0,0,178.69,0,0,0,78.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.82,5.15,0,0,26.47,0,0,0,0,0,4.75,0,0,0,0
 14-21,0,0,1.07,0,10.49,3.2,2.19,0,2.35,4.19,0,0,0,1.93,6.48,0,0,3.1,43.5,2.44,0,0,0,0,0,0,9.59,2.11,8.98,13.57,0,0,0
 24-34,0,0,0,0,0,0.76,9.09,0,0,0,0,0,0,0.62,2.58,0,0,3.09,51.44,0,0,0,0,1.61,0.72,0,0,0,2.21,13.22,0,4.95,0
 36-46,0,0,0,0,0,1.1,4.09,1.09,8.59,0,0.73,0,0,2.63,9.3,0,0,4.5,27.91,0,0,0,0,0,2.71,0,0,0,0,2.54,0,10.42,0
 48-58,0,0,0,0,0,0,9.35,1.8,5.89,0,0,0,0,0,8.83,0,0,0,29.26,0,0,1.77,0,0,0,0,0,0,2.82,4.51,0,1.98,0
 60-70,0,0,0,0,0,0,4.46,0,17.07,0,1.29,0,0,0,37.32,0,1.3,2.68,10.11,0.87,0,0,0,1.44,0,0,0,0,0,11.92,0,9.8,0
 72-82,0,0,0.57,0,1.9,0,27.61,2.74,27.93,0,0.58,0,0,0,48.52,0.73,3.37,5.15,12.61,0,1.41,0,0,0,0,0.56,0,0,0,4.14,0,1.96,0
 84-94,0,0,0,0,0,0,9.53,0,6.56,0,3.11,0.65,0,0,25.84,0,5.74,4.58,6.65,0,0.8,0,0,0,0,0,0,0.76,0,6.88,0,4.13,0
 96-106,0,0,0,0,0.6,0,20.66,0.84,16.44,0,0.66,2.37,1.59,0,38.28,0,3.09,1.63,22.33,0,0.69,0,0,0,1.2,0,0,0,0,0,0,4.11,6.43
108-118,0,0,0,0,0,0,21.33,1.53,24.07,0,1.49,0.48,0.66,0,69.18,0,0,3.59,12.97,2.02,0,0,0,0,0.9,0,0,0,0,5.22,2.52,4.87,1.55
120,0,0,0,0,0,0,0,2.28,32.73,0,0,2.01,7.08,0,51.08,0,2.08,1.99,37.35,1.57,8.55,0,0,0,0,0,0,0,0,4.69,0,0,0
