stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,336.08,8556.48,0,0,0,0,0,0,0,0,0,0,0,0,365.29,0,0,0,0,0,0,0
  5-6,595.17,7090.37,0,0,0,0,0,0,10.93,0,0,298.41,0,0,202.48,0,0,0,0,0,0,0
  7-9,38.37,72.43,58.46,0,0,133.35,0,0,59.93,0,0,1399.08,33.32,357.8,8.6,31.31,0,0,0,0,0,0
 10-12,0,21.21,25.47,0,6.14,32.72,0,0,9.07,0,0,356.33,14.71,165.25,0,5.47,0,10.73,0,0,0,0
 14-21,0,0,0.91,5.86,0.95,2.16,0.88,0,0,1.12,2.54,17.52,9.99,0.82,8.13,1.53,5.78,1.06,2.72,10.57,22.35,1.77
 24-34,0,0,0,1.79,0,1.35,0,0,0,4.53,0,3.13,0,0,4.8,0,0,0,0,0,5.84,0.78
 36-46,0,0,0,2.28,0,0,0,0,0,0,0,1.09,0,0,4.17,0,0,2.85,0,0,0,2.59
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.16,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0.48,0,0,0,0,0,0,0
