stage,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  7-9,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.94,0,3.3,0,0,0
 14-21,0,0,0,1.06,0,0,0,0,0,0,0,0.92,0,0
 24-34,0,0,0,10.85,0,0,0,0,0,0,0,0.73,0.6,0
 36-46,0,0,0,44.48,0,0,0,0,0,0,0,1.87,0,0
 48-58,0,0,0,30.03,7.51,0,0,0,0.56,0,0,1.47,0,1.89
 60-70,0,0,0,39.98,0,0,1.14,3.55,2.22,0,0,0,0,0
 72-82,0,0,0,28.07,2.73,0,5.46,0,1.6,0,0,0,0,0
 84-94,0,0,1.53,69.78,7.89,0.71,3.47,0,7.68,0,0,0,0,0
 96-106,0,0,0,28.13,2.54,0,5.3,0,3.48,0,0,0,0,2.89
108-118,0,0,0.59,36.39,3.88,0,15.04,0.82,4.29,0.43,0,0,0,0
120,0,1.4,0,62.58,4.92,0,31.34,0,15.07,0,0,0,0,0
