stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.94,6.46,0,0,3.67,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93,0,0,0,0,0,0,3.54,0,0,0,0,0
 14-21,0,2.96,4.31,5.04,0,0,0,0,0,0,0,0,0,0,0,1.36,19.06,0,1.08,0,0.99,0.81,3.5,0,3.31,4.64,0,0,0
 24-34,0,0.59,0,8.19,0,0,8.13,1.28,0,0,0,0.66,0,7.3,0,1.64,47.59,0,0,0.69,0,3.56,0,0,0,5.66,0,0,0
 36-46,0,0,0,1.77,2.74,0,3.69,0,0,0,0,0,0,3.29,0,2.79,30.33,0,0,0,0,8.22,0,0,0,0.6,0,0.83,0
 48-58,0,2.81,0,1.25,0,0,0,0,0,0,0,0,4.34,0.66,0,0,18.04,0,0,0,0,0.37,0,0,0,0.55,0,0,0
 60-70,0,5.13,0,0.62,0,0,0,0,0.58,0,0,1,0,0.96,0,1.09,16.8,0,0,0,0,1.25,0,0,0,0,0,0,0
 72-82,0,0,0,3.46,0,0.81,2.72,0,0,0,0.62,0,3.08,3.62,0,0.49,7.24,0,0,0,0,2.95,0,0,0,0.85,0,1.33,0
 84-94,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0
 96-106,0,0,0.8,2.64,0,0,0,1,0.61,0,0,0,0,1.92,1.42,0,2.79,0,0.59,0,0,2.89,0,0,0,0,0.76,0,0
108-118,0,0,0,0.41,0,0,1.4,0,0,2.22,0,1.15,0,2.86,0,0.57,3.37,0,0,0,0,1.6,0,0,0,0,0,0.62,0
120,0,2.09,1.65,0,0,0,2.78,0,0,0,0,0,0,19.85,0,2.81,2.3,0,0,0,0,1.57,0,0,0,0,0,0,6.89
