stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,292.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.29,601.29,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0
  7-9,0,20.03,0,10.88,0,0,0,7.44,0,0,0,0,20.17,0,0,0,0,0,0,0,0,0,0,85.02,10.37,0,0,119.6,0,0,0,0,0,0
 10-12,0,10.81,0,10.59,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.65,0,0,0,38.74,0,0,5.73,0,0,0
 14-21,0,0,0,3.16,5.94,0,0,10.17,0,0,5.36,0,0,0,1.66,0,0,0,0,0.89,0,0,4.93,128.59,2.71,0,3.29,2.65,5.7,3.52,0,9.19,43.98,0
 24-34,0,0,0,0,0,0.76,0,10.95,0,0,13.27,0,0,0,0.68,0,0,0,0,5.44,0,0,2.78,232.16,0,0.78,0,1,0.85,0,0,0,94.12,0
 36-46,0,0,0,0,0.62,0,0,17.03,0,0,21.25,0,0,0,0,0,0,0,0,2.22,0,0,0,348.63,0,0,0,0,5.93,0,0,0,107.92,5.93
 48-58,0,0,0,0,2.12,0,0,82.32,0,0.46,34.09,0,0,0,0,0,0,0,0,2.58,2.73,0,0.4,342.05,0,0,1.04,0,0,0,0,0,54.07,0
 60-70,0,0,0,0,3.19,0,0,220.04,0,0.93,24.3,0,0,0,0,0,0,0,0,4.58,2.4,0,0,328.59,0,0,0,0,2.9,0,0,0,34.89,1
 72-82,0,0,1.72,0,0.9,0,0,226.34,0,0,15.57,1.35,0,0.53,0,0,0,7.52,0.85,4.19,0,1.15,0,233.39,0,0,0,0,0,0,0,0,29.73,0
 84-94,0,0,0,0,0.56,0,0,93.77,0,0,16.06,0,0,0,0,0,0,0,0,1.48,2.84,0,0,200.35,0,0,0,0,1.3,0,0,0,7.97,6.14
 96-106,0,0,0,0,2.71,0,0,130.88,0,0,24.71,0.75,0,2.62,0,0.72,0.95,10.33,0,10.22,0,4.7,3.53,172.25,0,0,0,0,3.86,0,0,0,9.28,1.9
108-118,0,0,0,0,4.13,0,1.99,156.63,0.98,1.7,13.96,1.29,0,2.78,0,1.77,0,0,0,9.49,0,0,2.41,189.71,0,3.63,2.33,0,8.3,0,0,0,10.93,1.02
120,0,0,0,0,1.64,0,0,27.45,0,0,7.2,0,0,0,0,0,0,0,0,1.97,0,13.04,0,95.66,0,0,4.58,0,2.84,0,0,0,13.59,0
