stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71,0,0,6.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,22.79,9.18,0,3.97,0,0,0,6.11,0,0,0,0,0,0
 14-21,0,1.24,1.87,2.94,0,0,0,0,0,0,0,0,46.28,0,2.16,6.03,2.86,0,0,0,0,0.85,0,2.77,7.96,0,0.98,0,0
 24-34,0,0,0,1.21,0,0,0,0,0,0,0,0,51.71,0,0,13.3,0,0,0,0,0,0,0,0,9.02,0,0,0,0
 36-46,0,0,0,2.02,0,0,0,0,0.97,0,0,0,12,1.98,0,24.28,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 48-58,0,0,0,0,0,2.19,0,2.19,0,0,0,0,8.46,2.72,0,18.27,0,0,0,0,0,0,0,0,6.69,0,0.53,0,0
 60-70,0,0,0,0,0,10.74,0,0,2.96,0,0,0,6.3,3.3,0,39.04,0,0,0,0,0,0,0,0,3.31,0,0,0,0
 72-82,0,0,0,0,1.11,60.98,0,1.03,5.4,0,0,0,23.92,5,0,37.21,0,0,0,0,0,0,0,0,1.56,0,0,0,5.09
 84-94,0,1.11,0,0.83,0,88.28,0,0,10.89,0,0,0,40.37,6.16,0,44.15,0,0,0,0,0,0,0,0,1.7,0,0,0,0
 96-106,0,0,0,2.77,9.78,109.2,0,0,7.31,0,0,1.74,121.38,11.99,0,44.46,0,2.43,0,0,2.94,0,0,0,0,0,0,0.69,0
108-118,0,0,0,0,0,134.21,0,0,5.4,0,1.6,2.34,92.05,3.79,2.03,45.73,0,0,0,0,0,0,0,0,4.01,3.42,0,0,0
120,0,0,0,3.45,0,41.53,2.48,0,0,2.44,0,2.12,160.86,7.66,0,54.73,0,1.32,0,4.76,0,0,0,0,0,0,0,0,0
