stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,immune,liver,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,31.04,414.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,106.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.39,0,13.09,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.97,0,0,0,0,0
 14-21,0,0,3.71,8.64,0,0,0,0,0,0,26.6,0,0,0,0,0
 24-34,0,0,0,6.43,0,0,0,0,0,0,52.71,1.09,0,0,0,0
 36-46,0,0,0.58,4.23,0,0,0,0,0,0,116.98,0.89,0,6.03,0,0
 48-58,0,0,0,7.46,4.09,0.45,0,0,0,0,54.47,4.21,0,2.85,0,0
 60-70,0,0,1.05,147.66,0,0,0,0,0,0,41.47,3.22,0,4.31,0,0
 72-82,0,0,1.2,267.76,0,1.22,0,0,0,0,59.75,2.92,0,4.03,0,0
 84-94,0,0,0,243.47,0,3.19,0,0,2.91,0,39.9,0.96,0,0,0,0
 96-106,0,0,0,306.32,0,1.37,0,0,0,0,25.08,8.76,0,0,1.26,5.83
108-118,0,0,4.93,196.41,0,2.26,0.65,0.45,0,2.24,30.9,0.43,0,9.68,0,1.9
120,0,0,1.11,121.6,0,0,0,0,0,0,11.17,0,0,0,0,0
