stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,3.21,0,3.6,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.34,0,0,0,0,4.52,0,11.67,0,0,0,0,0,0,0
 14-21,0,0,5.06,14.5,0,0,1.84,0,0.87,0,0,0,0,0,0,0,0,0,0,1.86,0,0,144.78,0,8.42,0,0,0,0,0,0.91,39.56,0,0,0,0,0
 24-34,0,1.48,2.07,1.59,0,0,8.51,0,1.91,0,0,0,0,0,0,0,0,0,0,15.75,0,1.14,255.46,0.68,54.18,9.35,0,1.27,0,0,0,138.02,0,0,0,0,0
 36-46,0,5.94,0,2.38,0,0,7.92,0,1.78,0,0,0.66,0,0,0,0,0,3.9,2.27,13.33,0,0,492.1,0,75.59,6.46,0,2.51,0,0,0,323.53,0,0,0,0,1.39
 48-58,0,6.54,0,6.08,0,0,115.86,0,0.79,0.86,8.7,0,0,0,0.97,0,0,0,0,16.36,1.76,4.73,780.76,0,64.06,14.66,0.95,4.31,0,0,0,192.14,0,1.42,0,0,0.8
 60-70,0,2.95,0,7.02,0,0,290.19,0.9,0.69,1.39,27.73,0,0,2.69,0,0,0,1.13,0,51.8,15.26,0,1459.81,0,79.93,14.62,1.8,0,0,0,0,124.31,0,3.97,0,5.97,0
 72-82,0,6.1,0,23.92,0,0,284.59,0,1.14,1.28,51.84,5.11,0,0,0,0,0,0.96,0,31.25,13.95,1.32,1678.74,0,98.31,27.95,0,0,1.65,0,0,119.96,0,8.65,0,8.38,5.67
 84-94,0,15.65,0,28.4,1.26,0,277.66,0,0.55,4.93,43.24,4.19,0,0,0,0,0,1.74,0,28.06,8.83,0.68,863.8,0,79.91,42.8,9.99,1.1,0,0,0,76.85,1.17,12.7,0,9.91,0
 96-106,0,9.49,0,33.36,8.55,0.69,229.11,0,0,1.91,47.24,3.31,0,0,0.63,0.6,1.66,6.17,0,41.79,25.4,1.67,964.21,0,116.21,49.99,1.57,6.18,0,0,0,52.81,1.13,3.61,2.1,25.49,4.81
108-118,0,14.87,0,4.33,0,3.75,253.43,0,2.64,8.09,31.33,6.39,0,0,0.79,0,1.01,4.8,0,42.28,28.25,2.66,1269.23,0,120.68,81.86,1.63,0.72,0,0,0,56.73,0.67,9.73,0,11.06,2.01
120,0,16.38,0,12.88,5.24,0,580.31,0,2.67,2.6,100.02,5.48,0,0,6.17,0,0,5.59,0,37.59,67.32,4.34,2228.52,5.7,112.47,121.17,0,16.08,0,0,0,127.5,0,9.72,0,107.28,0
