stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,15.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,36.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,3.5,0,0,0,0,0,0,0,0,0
 10-12,0,35.03,0,10.03,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,257.31,0,0,0,14.98,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,3.22,1.77,0,5.83,12.67,0,0,0,0,0,0,0,0,0,2.53,299.89,0.81,0,0,0,0,0,0,1.45,182.02,0,0,0,0
 24-34,0,0,0,3.07,5.27,0,3.66,0,23.02,1.32,0,0,0,0,0,1.77,9.43,0,0,7.86,645.46,1.85,0,0,0,0,2.54,0,0,292.44,0,0.61,0,0
 36-46,0,0,0,0,0.94,0,38.63,0,19.06,3.47,0,0,0,0,0,4.67,14.41,0,0.86,2.17,1170.79,0.6,0,0,0,1.48,1.41,0,0,278.84,0,2.68,0,0
 48-58,0,0,0,0,2.11,0,87.75,0,32.12,2.61,0.45,0,4.84,0,0,0,30.01,0,0,3.27,917.9,0,0,0,0,0,0,0,0,194.43,0,1.65,0,0
 60-70,0,0,0,0,0,0.57,151.28,0,22.19,1.69,0,0,0.75,0,0,0,13.02,2.07,0,0,726.3,0,0,0,0,0,0,0,0,122.93,0,5.08,0,0.7
 72-82,0,0,0,0,0.8,0,168.02,0.77,23.46,0,1.67,0,7.73,0.67,0,0,37.58,0,0.76,0.76,641.18,0,0,0,0,0,0,0,0,60.41,0,12.38,1.26,3.54
 84-94,0,0,3.73,0,7.73,0,131.06,0,11.11,3.13,0,0,1.9,0,1.15,0,35.31,0,0,0,444.41,0,0,0,0,3.46,0,0,0,40.28,0.9,8.23,4.73,8.37
 96-106,0,0,0,0,5.59,0,104.01,0.89,8.79,1.58,0.73,1.46,2.05,0,0,0,10.47,0,0,1.32,478.83,0,1.84,2.32,0,0,0,0,0,31.48,2.03,4.25,0,0
108-118,0,0,0.6,0,2.94,1.26,117.27,0,24.25,9.11,0,0,9.63,0,2.25,0,17.78,0,0,0,525.7,0,0,0,0,3.29,0,0.69,0,6.98,0,4.7,0.57,3.45
120,0,0,3.01,0,16.02,0,113.17,0,25.56,1.35,0,0,1.05,0,0,0,22.04,0,0,0,649.06,0,0,0,0,1.66,0,0,0,45.17,0,0,0,3.14
