stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.16,8.21,0,0,19.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,0,7.54,21.03,14.84,0,0,0,10.26,1.73,0,0,0.95,0,0,0,0,23.7,0,0,24.35,540.24,2.36,1.55,0.95,0,0,0,0,2.64,0,0,5.96,259.08,0,0,45.22,0,0
 24-34,0,4.47,0,44.22,22.39,377.76,0,0.92,1.95,86.51,0,4.57,1.65,2.58,5.31,0,0,1.77,424.33,0,2.12,177.67,6708.04,0.67,163.57,32.32,0,7.79,8.56,0,0,0,0,2.59,1356.48,0,0,634.71,0,2.72
 36-46,0,3.02,0,21.97,0,1198.9,5.09,0.87,10.25,209,1.39,16.19,0,0,9.5,0,8.48,1.09,324.59,0,4.89,85.66,8280.48,0,150.56,28.86,0,10.02,44.7,0,0,0,0,0,1408.25,0,0,318.38,0,0
 48-58,0,0.42,0.43,81.14,12.09,3452.15,6.14,23.87,14.31,447.01,0,11.25,1.65,0,44.36,0,13.27,1.7,534.27,0,51.95,95.58,10507.08,10.79,146.07,22.93,0,0.47,42.87,0,0,0,0,0,1554.8,0,3.33,241.65,0,4.06
 60-70,0,6.75,0,55.26,7.18,7556.32,8.45,22.93,15.03,547.57,4.35,19.9,6.41,1.4,0.66,1.16,10.32,0,993.99,2.63,118.87,72.34,16930.07,3.46,232,37.68,0,8.82,22.57,0,2.75,0,2.94,0,1893.3,0,23.73,311.82,9.18,2.08
 72-82,0,5.18,0,49.3,23.25,5668.31,6.58,7.3,29.08,369.7,4.2,14.75,2.09,7.99,1.42,0.75,1.48,0,1028.99,0,85.56,60.85,13316.76,1.15,300.77,38.82,0,44.78,20.49,1.65,0,4.56,3.45,0,1081.6,11.07,63.2,327.81,46.67,30.46
 84-94,0,24.14,1.01,68.41,17.54,3525.68,0.79,7.67,41.1,410.89,8.78,22.51,14.24,2.81,26.71,4.38,0.66,3.66,922.15,2.37,99.44,60.89,6624.48,2.32,296.63,26.45,0,36.38,23.49,0,0,0,0,0,615.51,17.79,33.22,348.43,63.51,0
 96-106,0,6.65,0,30.11,9.85,2125.44,5.85,1.56,6.35,251.41,5.3,9.9,11.9,0.73,2.94,5.7,6.02,0,575.82,1.64,33.29,59.93,4683.24,2.4,260.02,27.51,0,42.63,17.47,3.39,0,1.44,0,0,175.87,2.3,37.28,178.62,44.3,11.44
108-118,0,21.75,0,84.14,14.78,3241.43,4.8,5.79,20.5,462.3,8.29,17.27,9.4,2.73,0.63,2.97,6.89,1.75,1015.84,0,103.96,42.04,7659.5,0,331,56.57,8.11,61.13,15.67,0,0,3.26,0,0,263.33,10.94,48.09,366.24,38.39,0
120,0,42.08,5.11,203.95,51.16,7692.53,27.4,7.99,45.47,1669.95,42.45,35.03,55.37,16.2,16.93,28.74,35.56,7.52,2724.25,2.54,188.28,134.42,32579.86,3.99,1139.12,180.59,0,403.7,58.74,1.53,0,18.75,0,0,753.84,28.28,78.92,1051.79,265.37,0
