stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,48.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.58,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.75,0,0,0,13.72,0,0,7.44,0,0,0,0,0,0
 14-21,0,0,0,0,4.96,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.96,0,0,0.95,0,0,0,0,48.24,0,0,0,0,0
 24-34,0,0,0,0.84,1.05,0,0,19.39,0,0,0,0.94,0,0.94,0,0,0,1.26,0.68,0,6.76,0,0,1.65,1876.93,0,16.06,0.61,0,0,3.61,0,208.07,0,0,1.74,0,0
 36-46,0,0,0,0,6.26,0,0,67.48,0,0,0,16.62,0,1.14,1.46,0,0,0,0,2.86,17.89,1.78,0.57,1.46,3910.34,6.47,11.73,0.74,0,0,13.59,0,468.01,0,0,0,0,8.96
 48-58,0,0,0,0,0.93,0,0,195.79,0,12.75,0.45,42.42,0,0,0,0,0.51,0.4,2.27,0.58,46.98,0,3.88,4.55,4746.11,0,13.51,0.62,0,0,7.62,0.73,578.69,0,0,4.59,0,17.45
 60-70,0,0,0.57,0,4.78,4.64,0,192,2.26,0.8,1.48,11.57,5.63,0,0,0,4.25,1.16,1.41,0,24.74,0,0,3.98,3944.02,0,1.88,0.72,0,0,3.3,0.58,551.46,0,0,0,0.98,0
 72-82,0,0,0,0,15.01,15.74,0,356.77,0,0,0.77,33.8,5.46,0,5.9,0,3.4,0,2.39,0,47.54,0,0.7,3.28,3535.84,1.23,6.01,5.79,0,0.71,2.74,0,538.64,4.62,0,1.7,0.71,14.29
 84-94,0,0,1.55,0,17.76,6.72,0,225.96,0,0,0,40.87,0,0,2.73,0,1.68,1.88,0,0,18.85,0,5.48,1.73,2272.71,0,6.49,0,0,0,2.72,0,283.28,0,0.93,1.22,2.25,13.37
 96-106,0,0,0,0,15.59,6.99,0,228.51,0,1.15,1.65,33.36,0.56,1,1.95,0,0,1.82,0,0,35.81,0.77,2.88,0,1810.82,1.82,2.29,0,0,0,10.71,0.67,142.93,0,0,5.26,0,0
108-118,0,0,0,0,13.35,3.92,2.84,169.39,0,0,0,38.77,0.71,1.03,1.5,0.77,0,0.55,1.7,1.94,30.96,1.14,1.38,0.99,2941.2,1.29,5.45,2.04,0,0,6.84,0,178.2,0.82,2.33,4.24,2.54,2.03
120,2.82,0,0,0,16.2,10.19,4.06,154.92,18.76,0,0,59.17,8.81,0,4.03,0,0,0,0,0,76.6,0,0,4.92,4565.47,0,1.02,0,0,0,1.03,0,132.3,0,0,3.83,0,0
