stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,3.74,0,2.01,0,0,0.85,0.86,0,0,0.87,0,1.81,0,0,0,15.55,0,0,0,0,5.04,2.26,4.14,0,0,0
 24-34,0,0,5.27,0,0.85,0,0,0,0,0,0,0,4.16,0,0.66,28.63,0.67,0,0,0,0,0,5.58,0,0,0
 36-46,0,0,7.58,1.14,0.84,0,0,0,0,0,0,2.19,0,0,0,15.77,0,0,0.72,0,0,0,2.32,0,0,0
 48-58,0,0,9.54,0,1.15,0,0,0.41,0,0,0,1.15,0.42,0,0,11.5,0,0,0,0,0,0,0.45,0,0,0
 60-70,0.77,0,3,0,0,0,0,0,0,0,3.58,0,0,0.63,0,3.88,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.86,4.01,0,1.53,0,0,0,0,0,0,2.04,0,0,1.33,4.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.74,0,1.09,0,0,0,0.85,0,0,0,0,0,0,5.96,0,0,0,0.9,0,0,0,0,2.06,0
 96-106,0,0,0.96,0,0.57,0,0,0,0,0,0,3.42,0,0,0,2.31,0,0,0,0.98,0,0,0,0,0,2.86
108-118,0.45,0,1.97,0,0,0,0,0,0.7,0,0,4.98,0,0,1.78,0,0,0,0,0.93,0,0,0,1.33,0,0
120,1.14,2.74,0,0,8.03,0,0,0,0,0,0,2.55,0,0,0,8.5,0,11.55,0,0,0,0,0,0,0,0
