stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,54.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,89.54,8.96,0,19.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.97,0,0,0,26.59,0,0,0,0,734.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.37,867.58,0,2.93,0,0,0,0,0,0,10.15,3.25,0,0,0,0,0,89.16,0,45.11,53.04,13.1,0,0,0,0,0,1.53,5.15,21.53,3.82,0,2.23,0,0,202.62,0,0
 24-34,0,0,0,3.86,81.85,0,4.18,0,0,3.43,0,0,1.15,73.44,14.44,0.63,0.63,0,4.01,0,420.69,0.81,83.42,143.6,0,0,0,0,0,0,0,0,0,0,2.95,15.22,0,0,1258.71,0,10.07
 36-46,0,0,0,12.95,5.12,0,7.71,0,6.21,11.51,0.59,0,0,31.02,14.7,0,0,0,0,0,576.01,0,67.43,79.78,0,0,0,0,1.69,12.28,0,0,0,0,0,8.66,0,0,687.48,0,0
 48-58,0,0,0,1.3,4.04,0,32.97,6,2.02,15.25,2.89,0,0,30.26,11.48,0,0,0.96,0.48,0,908.99,0,49.92,187.41,0,0,0,0,0,2.49,0,0,0,0,0,12.93,0,0,569.74,0,6.61
 60-70,0.81,0,0,4.31,33.2,0,43.05,0,6.5,20.45,3.34,0,0,44.07,19.02,2.14,0,0,0,2.64,1094.26,2.19,49.23,123.96,0,0,0,0,6.58,3.5,0,0,1.17,0,0,7.24,0,11.31,446.38,2.04,8.62
 72-82,0,0,0,4.27,16.59,0,31.76,2.21,0,8.67,4.97,0.86,0,57.52,27.45,0,0,0,0,0,935.14,1.6,32.62,90.74,0,4.17,1.45,0,2.28,0.7,0,0,0,0,0,0,0,10.5,692.91,5.88,1.89
 84-94,0,0,0,0,4.77,0,33.49,0.56,0,3.05,0.59,0,0,15.09,28.84,0.72,1.97,2.13,0,0,781.96,7.95,15.41,69.85,0,1.53,1.47,0,6.05,2.93,0,0,0.67,0,0,4.39,0,5.68,704.15,2.33,0
 96-106,0,0,0,2.13,21.1,0.66,22.43,0,0,9.72,7.12,0.88,0,54.06,33.14,1.28,0,1.17,2.55,0,604.23,2.96,12.04,54.24,0,0.93,0,0,13.73,3.46,0,0,1.91,0,0,0,0,7.46,781.41,4.25,0
108-118,0.56,0,0,1.74,4.44,0,20.74,0,1.13,13.6,6.85,0.96,0,17.77,22.11,1.1,0,0,0.6,0,610.07,4.53,9.82,53.13,0,0,0,0,2.76,0.54,0,0,2.68,0,0,0,0.42,5.51,643.11,4.29,0
120,0,0,0,1.72,18.49,0,14.92,0,0,7.62,0,0,0,42.44,10.57,0,0,0,1.42,0,691.55,15.71,7.24,33.6,0,0,0,0,9.57,1.89,0,0,0,0,0,0,0,2.41,882.47,0,0
