stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,taste,vasculature
 10-12,5.27,0,0,0,0,0,0,0,0,0,0,0,11.89,0,0,0,0,0
 24-34,0,0,2.81,0,0,0,0,9.79,1.49,0,0,0.68,0,0,0,0.66,0,2.22
 36-46,0,0,0,0,0,0,0,1.07,0,0,0,0,10.2,0,0.72,0,0,0.56
 48-58,0,0,0,0,0,0,0,0,0,1.45,0,0,13.92,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,1.69,0
 72-82,0,8.41,0,0.77,0,0,0,0,0,0,0,0,10.07,0,1.35,0,21.78,0
 84-94,0,3.15,0,2.91,0,0.96,0,1.68,0.74,0,3.53,0,4.09,0,0,0,112.51,0
 96-106,0,11.8,0.72,14.95,0,5.98,0,2.89,3.65,0,0,0,10.73,0.57,0,0,159.75,0
108-118,0,20.98,1.76,0,0,6.66,0.43,13.54,1.01,2.21,0,0.53,2.17,0,0,0,193.78,0
120,0,73.88,1.38,0,9.1,1.88,0,41.58,0,0,0,0,0,0,0,0,67.37,0
