stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0
  5-6,0,44.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.79,3.21,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,25.78,6.28,0,0,31.28,0,0,0,0,0,0,0
 10-12,0,6.05,5.47,0,0,6.05,0,0,0,3.97,0,0,0,0,0,0,0,0,0,194.18,15.74,0,0,33.07,0,0,0,0,0,0,0
 14-21,0,0,3.56,0.87,4.64,0,0,0.88,0,0,0,0,0,0,0,0,0,0,1.22,43.57,0,0,0,0,0,2.41,0,6.09,8.19,0,0
 24-34,0,0,0,1.43,0,8.42,0,5.34,0,0,0,0,0,0,0,0,2.54,0,1.1,48.09,0,0.73,2.06,0,0,0,0,0,9.9,0,2.86
 36-46,0,0,0,0,0,0,0,2.57,0,0,0,0,0.79,0.65,0.64,1.46,3.54,0,0,30.84,0,0,0.81,5.14,0,0,0,0,7.09,0,0
 48-58,0,0,0,3.75,0,8.25,0,3.94,0.46,0,0,0,0,0.4,0,0,3.15,0.54,4.79,6.5,0,0,0,0,0,0,0,0,2.97,0,1.82
 60-70,0,0,0,0,0,7.72,0,0,0,0,0,0,0,2.8,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,2.16,0,0
 72-82,0,0,0,0,0,7.32,0,4.21,0.74,0,1.04,1.03,0,0,0.6,0,1.19,0,0.84,19,0,0,0,0,0,0,0,0,6.16,0,0
 84-94,0,0,0,0,0,3.58,0,5.19,0.59,0,0,2.02,0,0.75,0,0,0,0,0,18.43,0,0,1.2,0,0,0,0,0,5.35,0,0
 96-106,0,0,0,0,3.52,19.55,0,5.39,0,0,0,1.92,0,2.33,0,0.7,5.27,0,0,14.48,0,0.59,0,0,0,0,0,0,3.26,0.75,1.37
108-118,0,0,0,0.42,1.58,13.02,0.47,9.4,0.64,0,0,0.8,1.15,1.08,0.69,0,0,0,0,23.13,0,0,0,0,0.44,0,0.75,0,5.55,0,0.49
120,1.19,0,0,0,0,11.04,0,3.23,1.33,0,1.54,0,2.02,0,0,0,0,0,3.55,31.04,0,0,2.74,0,0,0,0,0,0,0,2.49
