stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,8.5,47.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.05,0,0,0,0,35.48,0,0,0,0,0,0,0,0,0,0,0,0,80.08,0,0,0,9.46,0,0,0,0,37.91,0,7.22,0,0,0,0
 14-21,0,0,0,2.26,66.01,28.15,1.04,0,0,0,1.32,0.82,1.66,0.82,0,0,40.47,0,11.06,120.47,1.75,2.43,18.97,2.32,0,0,0,1.97,0,0,1,27.26,0,11.53,0
 24-34,0,0,0.71,1.34,21.16,3.27,2.33,0,0,0,0,0,1.85,8.69,0,0,108.11,3.15,8.53,304.6,0,28.87,20.96,0,0,7.33,0,0,0,2.05,2.56,91.48,0,53.08,0
 36-46,0,0,0,0,13.73,0,30.17,0,0,10.66,25.03,0,2.99,24.08,0,0,71.75,2.44,0.58,383.85,0,16.1,1.5,0,1.01,0.6,0.81,0,0.63,0,0,219.56,0,14.25,0
 48-58,0,0,0,0,1.16,0.54,66.33,0,2.13,28.57,47.35,0,0,39.74,0,0,104.94,12.9,3.31,650.31,0,21.6,1.3,0,1.43,0.43,0,0,0,0,0,428.96,0,4.48,0
 60-70,0,0,0,0,1.15,4.64,90.85,6.8,0.79,28.26,83.12,0,3.1,38.65,0,1,135.82,16.28,0,676.46,0,19.48,1.65,0,1.82,0,0,0,0,0,0,459.38,1.46,2.21,0
 72-82,0,0,0,0,13.96,0,95.23,0,0,44.69,65.37,1.04,1.27,32.2,0,0,130.85,12.28,1,585.65,0,11.88,3.22,0,1.48,2.07,0,0,0,0,0,315.07,1.37,1.22,4.07
 84-94,0,0,0,0,3.85,0,59.91,7.72,2.49,32.33,24.72,0.97,2.1,79.55,1.47,0,111.22,10.2,3.24,446.03,0,20.85,4.54,0,9,0,0,0,0,0,0,182.31,2.07,5.79,4.97
 96-106,0,0,0,0,2.6,0,45.46,16.35,0,23,28.82,0,2.33,50.64,0,0,67.18,3.87,1.31,287.97,0,15.33,3.75,0,0.83,0,0,0,0,1.22,0,107.81,0,7.81,0.85
108-118,0,0,0,0.49,5.86,0,39.32,0.64,0,18.36,54.86,0,0,39.69,1.65,0,60.34,3.32,0.52,380.25,0,8.17,5.54,0,0,1.53,0,0,0,0,0,79.48,0,3.31,3.11
120,0,0,0,0,1.4,0,74.93,0,0,18.92,33.99,0,0,52.76,0,0,31.99,0,6.08,431.47,0,1.29,0,0,0,0,0,0,0,0,0,94.9,0,3.36,0
