stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,54.29,406.89,0,0,0,0,0,0,0,35.02,0,0,0,0
  5-6,255.16,701.31,0,0,0,12.54,276.93,31.27,75.32,0,0,0,0,0
  7-9,190.65,11.11,32.83,0,5.18,67.43,108.67,69.79,530.23,0,0,0,0,0
 10-12,0,11.38,11.91,0,0,10.28,29.06,7.41,257.87,0,0,15.62,0,0
 14-21,0,0,0,1.28,0,0,0,0,3.49,0,6.41,0,0.94,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
 72-82,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0
