stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,49.83,570.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.88,0,0,0,0,0,0,0
  5-6,31.19,516.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,9.89,7.68,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,20.11,0,0,0,21.09,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.05,8.26,0,0,3.14,0,0,0,23.75,0,0,0,0
 14-21,0,0,0,0,161.02,4.45,0,3.13,0,0,0,2.09,0.85,0,0,4.1,0,0,0,6.59,0,0,0,0,28.55,286.08,0,0,1.74,6.67,0,1.81,0,0,10.99,0,0
 24-34,0,0,0,1.99,162.9,1,0,11.49,0,12.53,0,1.51,0,0,0,17.86,0,9.21,2.15,9.09,3.96,3.66,0.83,1.02,50.62,10.52,0.96,0.65,0,36.73,0,0,3.16,1.57,6.14,3.67,0
 36-46,0,0,0,0,88.15,0,0,5.39,1.18,25.31,0,0,0,0,0,33.78,4.83,2.18,0,0,30.74,1.64,0,0,63.8,2.71,0,0,0,29.67,0,0,0,0,5.91,2.96,0
 48-58,0,0,0,0,34.24,0,0,31.82,0,11.86,0.79,3.42,0,0.54,0,34.38,0.55,5.64,0,0,16.06,4.98,0,2.89,70.23,4.34,0,0,0,29.2,0.56,0,0.56,0,25.81,0.46,11.05
 60-70,0,0,0,0,30.63,0,0,40.1,0,29.63,0,5.26,0,0,0,46.06,0.62,4.53,0.59,2.61,10.45,10.99,0.73,0.65,71.79,0,0,0,0,62.43,0,0,0.73,0,7.64,2.6,3.44
 72-82,0,0,0.87,0,15.93,0,0,24.91,0,11.37,1.16,10.69,1.99,0,0,39.12,2.75,21.75,0,0,1.58,6.22,1.29,0,55.9,2.91,0.74,1.14,0,22.05,0,0,0.6,0,4.71,4.91,0
 84-94,0,0,0,1.01,56.18,0,0,47.93,0,18.11,2.23,23.29,1.94,0,0,90,2.52,10.24,0,2.38,9.87,12.92,0,5.73,30.29,0,0,0,0,70.09,0,0,2.28,0,6.17,3.09,0
 96-106,0,0,3.27,2.06,30.86,0,0,63.92,0,10.05,0,21.31,6.92,0,0,62.39,0,19.38,0.78,10.49,6.04,7.86,0,3.22,24.67,0,3.74,0,0,91.13,0,0,0,0,0,1.72,0
108-118,0,0,0,0,45.81,0,3.55,55.22,0,35.55,0.73,25.12,5.27,0,0.88,67.66,3.17,27.75,0,10.83,12.45,4.66,5.97,0,15.33,1.2,2.81,2.33,0,60.23,0,0,0,0,0,0,6.23
120,0,0,0,0,45.04,0,0,23.38,0,25.67,0,31.43,3.94,0,0,189.9,2.78,27.14,0,31.52,1.33,0,4.28,3.79,56.05,0,1.11,1.66,0,60.07,0,0,1.26,0,23.33,7.05,0
