stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,5282.38,92273.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,7346.78,83953.53,78.71,0,0,0,0,0,0,0,0,392.91,0,0,0,0,0,0,0,0,0,0,0,1903.66,174.02,0,0,591.17,0,948.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,474.61,615.82,1917.48,0,0,1903.77,0,0,0,0,0,1487.49,0,0,0,0,0,0,0,0,0,0,0,21381.07,484.45,0,0,7300.23,0,25.7,243.5,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,244.46,490.89,0,41.51,877.81,0,0,0,0,0,66.08,0,0,0,0,0,9.05,0,0,0,0,0,7162.43,99.16,0,0,2726,0,16.75,42.24,4.56,300.69,0,5.26,21.76,0,0,0,0,0
 14-21,0,0,44.51,324.08,174.93,259.09,0,0,0,65.7,23.69,0,8.13,0,9.61,0.91,2.18,0,0.86,192.19,0,0,166.31,3353.55,55.99,6.97,57.94,91.88,0,26.35,5.69,357.76,21.66,2.12,236.52,916.15,0,0,21.4,0,0
 24-34,0.88,0,4.96,49.78,56.52,371.66,0,4.88,3.78,47.68,4.5,1.4,3.6,7.25,3.21,2.88,2.22,8.49,0,214.48,1.95,1.91,94.15,3012.24,9.69,11.62,19.6,0,3.82,25.07,0,3.91,3.41,1.32,25.93,660.01,0,0,57.86,0,1.21
 36-46,0,0,0,23.11,9.43,537.27,0,0.93,1.82,53.93,1.53,0,4.48,0,0,1.12,3.5,4.93,3.36,158.38,0.63,8.49,61.89,1649.81,3.34,2.89,8.42,0,0,10.68,0.81,0,0.6,0,0,360.28,0,0,29.19,0,10.8
 48-58,0,0,0.41,19.64,15.63,432.76,0,2.28,4.95,69.37,2.21,0,3.12,1.87,0.88,0.49,3.72,0.65,0.8,128.26,0,12.22,27.98,589.28,1.9,1.21,3.19,0,0,7.22,0,0,0.46,0,0,112.05,0,0,20.66,0,2.16
 60-70,0,0,0,12.14,19.14,245.09,0,0,0,91.99,5.32,0,0,5.23,0,0,0,1.66,0,91.11,0,2.21,9.06,243.84,1.67,1.56,2.84,0,1.03,6.04,0,0,0.76,0,0,30.15,0,0.67,27.47,0.64,0
 72-82,0,0,0,9.17,77.77,92.83,0,0,2.9,65.95,1.34,0,0.81,5.19,0.93,0.64,0,4.22,1.18,96.3,2.55,1.44,19.7,230.75,0.5,1.87,2.35,0,0.77,2.58,0,0,0,0,0,10.47,1.27,0.49,29.86,1.64,0
 84-94,0,0,0,18.68,117.01,111.76,0,1.63,0,38.1,7.27,0,0.79,4.04,1.89,2.44,2.19,2.91,0,68.67,0,2.57,9.47,162.25,1.99,0,5.65,0,0,4.34,0,0,5.2,0,0,17.84,1.38,1.63,17.69,0,0
 96-106,0,0,0,12.62,156.23,85.51,0.64,0,9.37,38.85,5.43,0,0,6.63,0.82,0.71,0,2.44,0,55.83,0.68,2.41,6.59,119.71,4.84,5.17,4.35,0,1.03,5.18,0,0,1.44,0,0,3.27,0,1.15,17.9,1.87,0
108-118,0,0,0.49,26.63,131.04,70.72,0,2.15,3.73,64.09,2.91,0,4.9,6.54,0,1.97,2.37,6.84,0,73.6,0.75,2.13,14.86,213.59,1.58,1.9,5.82,0,0,5.7,0,0,0.89,0,0,3.01,1.01,0.67,19.47,1.3,1.25
120,0,0,0,14.44,87.69,55.62,0,2.05,5.27,73.32,1,0,0,20.24,1.94,0,2.12,0,0,55.08,0,0,3.47,202.84,1.25,10.01,8.87,0,0,4.04,0,0,1.86,0,0,5.46,0,0,59.24,0,0
