stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.66,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0
 36-46,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.89,0,0,0,0,0,0.81,0,0,1.85,0,0,0,0,0
 48-58,0,0,0,0,0,64.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.68,0,0.5,0,0,0,0.56,0,0,7.33,0,0,0,0,0
 60-70,0,0,0.71,0,0,1922.73,0,0,1.14,10.3,0,0,0,0,0,0,0,0,2.58,0,0,1.31,112.01,0,0,0,0,2.13,0.64,0,1.5,2.3,0,0,0,0,0
 72-82,0,1.01,17.01,10.56,0,5807.66,0,0,0,24.53,0,0,2.85,0,0,0,0,7.54,32.79,0,0.75,0.81,209.69,0,0.58,2.89,6.25,5.13,0.56,0,0,15.71,0.67,0,4.36,1.41,21.31
 84-94,0,0,21.58,17.85,0,6378.45,1.69,0.94,0,42.3,0,0,0,0,3.73,0,0,5.93,28.04,0,4.09,0,128.45,2.98,1.16,1.9,0,9.03,0,0,0,11.74,0,0,1.59,7.73,0
 96-106,0,1.79,23.12,26.23,1,6715.1,1.53,0,0,39.19,2.59,1.61,9.46,0.63,4.09,0,7.59,0,39.75,0,0,5.09,192.51,2.15,0,6.47,0,8.61,3.39,0,2.39,0,2.08,0,1.33,4.57,13.21
108-118,6.97,0,15.25,3.38,0,6821.32,0.98,1.85,6.23,44.55,1.63,0,5.67,1.23,4.54,0,4.63,0,30.53,0,0,7.35,204.34,1.64,2.19,0.51,0,13.59,0.79,0,0,12.95,5.96,5.72,4.68,0.65,0
120,0,0,45.27,29.19,0,7266.7,1.66,0,0,44.65,1.93,0,0,2.93,0,1.88,31.5,0,71.2,5.62,0,1.88,379.69,6,22.69,8.58,2.67,21.37,0,0,0,11.96,0,0,4.37,0,0
