stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.6,994.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.45,0,0,0,0,0,0,0,0,0,0
  5-6,36.2,401.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.26,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.44,0,6.46,0,0,0,20.21,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,0,0,311.99,10.52,0,0,71.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.82,0,38.25,0,8.32,0,45.02,0,0,0,0,0,54.23,0,0,0,0,0,5.32,0,0,0,0,631.7,11.63,0,0,154.02,0,0,0,14.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.55,66.8,0,45.86,0,0,0,0,0.85,1,16.86,0,0,0,0,0,1.74,45.9,0,25.7,249.69,0.94,0.91,0,4.13,0,0,9.15,0.85,4.63,16.27,32.18,0,0,157.12,0,0
 24-34,0,0,0,0,6.98,6.07,0,104.47,0,0,8.67,4.31,0,0,35.88,0,0,0,0,0.66,2.37,173.11,0,56.31,505.66,0,1.49,0.99,0,0,3.56,1.1,4.09,0,3.2,84.64,0,0,854.79,0,0
 36-46,0,0,0,0,2.43,8.68,0,91.72,0,0,14.49,12.9,0.61,0,3.23,0,0,3.61,0,10.49,2.39,243.16,1.06,37.25,1346.9,0,3,0,0,0,0.75,0,0,0,0,88.87,0,0,449.65,0,0
 48-58,0,1.29,0,0,18.4,3.17,0,290.24,0.99,4.89,29.55,88.34,0,0,8.41,0,0,3.23,0.44,7.68,1.4,333.47,0,36.02,2640.03,7.49,1.73,0,0,0,4,0,0,0,0,195.86,0,0,377.22,0.9,20.86
 60-70,0.81,0,0,0,14.93,0.58,0,1141.67,0,0,33.48,85.65,8.8,0,9.56,0,0,0.61,0.88,0,0,465.62,19.67,36.18,3750.42,0,6,0.81,0,0,1.28,0,8.25,0,0,253.98,0,1.66,337.88,0,5.75
 72-82,0,0,3.67,0,5.09,7.64,0,1931.82,0,0,40.31,85.89,8.19,0,10.63,1.27,0,5.83,0.51,0,0,514.22,5.95,32.28,2473.67,0,1.21,0.66,0,1.61,3.93,0,0.68,0,0,166.86,2.31,0,763.4,0,7.99
 84-94,0,0,1.43,0,12.11,10.51,0,1035.77,0,0,35,76.98,9.05,0,8.68,5.6,0,0,0,6.2,0,480.39,19.18,36.83,1768.95,0.65,3.71,0,0,1.68,4.01,0,0,0,0,98.2,0,0,714.26,3.94,0
 96-106,0,0,0,0,15.19,13.1,0,1401.38,0,0,29.54,46.7,6.93,0,1.5,0.81,0,0.6,0,0,0.63,384.51,2.07,13.06,1363.75,0.66,2.07,0.85,0,0,6.74,0,2.02,0,0,70.45,9.94,5.34,642.78,1.96,8.4
108-118,0.56,0,0,0,15.69,3.11,0,908.04,0,1.02,26.17,75.33,8.87,0,5.44,0.79,0.85,1.31,0,0.45,0,404.7,9.6,14.8,1633.55,0,0,2.23,0,1.76,1.71,0,2.09,0,0,17.84,0,0,649.04,2.34,0.49
120,0,0,0,1.28,18.91,15.31,3.13,827.91,0,0,19.95,87.08,14.54,0,3.83,6.84,3.66,0,0,4.16,0,465.82,3.2,13.52,2374.04,10.25,5.27,1.86,0,0,15.55,0,0,0,0,45.4,0,0,691.67,0,0
