stage,endoderm,epidermis,neural,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,11.73,11.19,0,0
 10-12,6.52,0,6.44,0,0,0
 36-46,0,0,2.06,0,0,0
 48-58,0,0,0,0,0,0.44
 84-94,0,0.71,0,0,1.63,0
