stage,axial,blastomeres,endoderm,neural,paraxial_mesoderm,periderm
  3-4,0,81.45,0,0,0,19.43
  5-6,8.83,43.86,0,0,0,0
  7-9,0,0,5.42,23.67,24.69,0
 10-12,0,0,0,10.4,0,0
