stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21,5.93,0.82,0,0,0,0,0.99,4.33,0,0,0
 24-34,0,0,0,1.3,0,0,0,0,0.68,0,0,0,0,0,20.04,0,0,4.38,0,4.69,0,11.02,0,0,0
 36-46,0,0,0,1.21,0,0.96,0,0,3.34,2.45,5.93,0,0,0.75,33.22,0,1.65,7.36,0,2.13,0,1.88,0,0,0
 48-58,0,0,0,6.25,0.56,1.15,0,0,2.72,0,2.57,3.08,0,0.92,28.18,0.5,0,3.73,0,3.13,0,9.1,0,0,0
 60-70,0,0,2.34,9.46,0,1.03,0,4.64,2.89,0,11.27,0,0,0,18.02,0,0,7.7,0,0,0,4.87,0,0,0
 72-82,0,0.5,5.7,4.86,0,1.65,0,0.65,2.84,0,5.93,0,0.74,0.53,12.8,0,0,15.85,0.55,1.72,0,3.77,0,0,0
 84-94,0,0,0.77,1,0,2.42,0,0,4.57,0,5.6,0,0,0,13.03,0,0,30.22,0.72,1.4,0,3.2,1.54,3.02,0.7
 96-106,0,1.41,6.3,3,0,1.35,0,0,15.88,0,6.83,1.13,0,2.46,8.25,0,0,36.09,0,0.87,0,0,0,0,0
108-118,0,0,15.34,1.19,0,8.09,0.58,0.72,8.55,0,7.9,0,0,0,2.23,0,0,28.27,0.46,1.13,0,0,0,0,0
120,0,1.26,0,0,0,2.8,2.78,0,20.89,0,0,0,0,0,1.43,0,0,21.75,0,0,0,0,0,0,0
