stage,epidermis,erythrocytes,eye,glial,heart,melanocytes,mesenchyme,neural,periderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,6.51,0,6.08,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.79,0
 24-34,0,0,0,1.64,0,0,0,10.11,0.72,0,0,0
 36-46,0,0,0.94,0,0,0,0,14.87,0,0,0,0
 48-58,0,0,0.77,0,0,0,0.41,7.44,0,0,0.96,0
 60-70,0,0,2.48,0.8,0,0.72,0,6.27,0,0,0,0
 72-82,0,0,0,0,2.04,0,0,4.54,0,0,0,1.29
 84-94,0,0,3.76,0,0,0,0,2,0,0,0,2.3
 96-106,0,0,5.79,0,0,0,0,2.16,0,0,0,0
108-118,0.83,0,4.37,0,0,0,0,0,0,0,0,0
120,0,3.03,0,5.55,0,0,0,2.33,0,0,0,0
