stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.48,305.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.63,0,0,0,0,0,0,0,0,0
  5-6,38.93,161.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.54,0,0,0,0,0,402.8,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.83,0,0,0,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.69,23.26,0,0,51.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.69,12.21,0,0,25.04,0,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,462.97,15.63,0,13.45,0,0,0,1.28,0,0,0,0,0,0,0,5.05,4.77,0,0,1.9,72.94,0,0,5.04,0,0,1.6,1.26,13.32,1.27,5.06,6.73,0,5.89,0,0
 24-34,0,0,0,5.48,1.77,0,3.36,0,0,0,0,0,0,0,0,0,0,0,1.22,0.7,0,0,2.75,67.59,0.76,0.94,0,0,0,0,0,0,0.75,5.03,5.29,0,38.64,0,0
 36-46,0,0,0,1.46,6.07,0,7.36,0,3.02,0,2.2,0,0,0,0,9.16,0,0,0,2.38,0,0,3.59,26.6,0,0,1.56,0,0,0,3.71,0,0,0,5.73,0,27.94,0,0
 48-58,0,0,0,0,0,0,21.42,0,0,0,5.29,0,0,0.55,0,0,0,0,0,2.21,0,0,0.49,12.23,0,0,1.54,0,0,0,16.53,0,0,0,1.14,0,17.87,0,0
 60-70,0,0,0,3.94,0,0,6.27,0,0,0,14.9,0,2,0,7.93,0,0,1.38,0,15.87,0.58,0.7,2.69,17.45,0,0,0,0,0,0,0,0,0,0,0.88,0,15.58,0,0
 72-82,0,0,0,0.59,0.89,0,14.49,0,0,0,27.74,1.63,0,0,2.34,5.19,0,0.5,4.19,17.65,0,1.23,0,46.34,0,2.46,1.6,0,0,0,0,0,0,0,0,1.75,36.65,0,0
 84-94,0,0,0,5.95,0,0,11.94,0,0,0.83,9.76,0,0,0,1.71,6.33,0,0,0,29.03,0,7.35,1.76,34.4,0,0.8,0,0,2.65,0,0,0,0,0,16.44,1.98,36.77,0,0
 96-106,0,0,0,4.48,5.76,1.54,13.56,2.12,0,1.02,50.6,3.62,0,1.55,10.92,9.67,0,9.24,0,38.08,0,0.96,4.7,29.91,0,2.14,4.28,0,0,13.05,2.2,0,0,0,0,9.9,41.78,1.96,1.22
108-118,0,0,0,21.33,0,0,19.92,0,1.21,1.21,45.01,2.61,0,0,7.26,4.05,0.65,14.23,0,58.01,0,3.65,1.23,75.99,0,1.34,8.84,0,1.99,6.99,3.39,0,0,0,9.04,4.24,43.25,0,2.75
120,0,0,0,10.47,0,0,10.47,0,3.11,0,25.46,2.91,0,0,19.05,2.76,1.34,0,0,99.58,1.04,0,0,28.9,0,9.85,0,0,17.18,31.61,1.53,0,0,0,0,0,106,0,0
