stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,280.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634.12,0,0,0,0,0,0,0,0,0
  5-6,17.94,265.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,11.56,0,3140.87,0,0,0,0,0,0,0,0,0
  7-9,0,9.23,0,5.35,0,0,0,120.26,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,203.23,3.27,0,0,34.03,0,431.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.01,0,0,0,102.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687.88,42.02,0,0,73.37,0,36.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.98,1009.88,0,0,9.22,0,0,0,1.26,0,1.29,1.52,3.42,69.52,0,0,0,0,2.81,3.95,0,3.45,47.62,0,2.32,3.97,0,0,19.24,6.52,2.16,6.83,3.09,0,0,1.16,0,0
 24-34,0.88,0,0,3.18,539.99,1.48,0,4.41,0,61.08,0,2.59,0,0.76,0.69,9.07,29.79,0,19.9,0,0,26.33,9.08,0,6.29,63.95,5.53,21.06,3.89,0,0,11.21,0,25.47,0,10.62,0,0,28.92,0,0
 36-46,0,0,0,0,291.44,0,0,5.04,5.27,76.49,0.72,0,1.39,0,1.32,18.05,13.92,0,14.6,0,0,68.84,14.14,1.66,11.43,42,0.8,6.65,1.42,0,0,19.23,0,17.3,0,3.91,0,0,8.43,0,0
 48-58,0,0,0,0,167.75,0,0,18.26,0,87.14,5.34,0.66,0,2.14,0.69,16.36,17.02,0,23.18,0,0,71.94,4.31,23.92,9.47,45.16,0,4.93,12.49,0,0.4,0.9,0,18.81,0,7.53,0,0.74,28.1,0,3.42
 60-70,0,0,0,0,234.97,0.72,0,8.87,0,128.04,3.07,0,1.38,0,3.6,32.58,23.48,0,28.59,0.62,0,110.86,9,10.69,12.42,48.72,0.7,4.29,4.95,0,0,5.67,0,32.8,0,6.01,1.58,1.56,20.08,3.27,0
 72-82,0,0,0,0,152.19,0,0,20.79,0,70.3,9.34,4.62,2.27,3.69,2.76,15.93,12.8,0,38.33,2.18,0,231.53,23.01,8.51,13.48,60.39,5.75,7.19,9.46,0,3.07,1.76,0,63.4,0,6.58,10.89,7.58,14.21,8.03,0
 84-94,0,0,0,0,219.43,0,0,21.77,0,116.63,11.24,7.29,7.13,0.76,0,55.38,36.2,0.75,35.45,0,9.74,181.34,2.39,17.85,23.59,46.01,0.6,26.27,6.64,0,0,18.21,0,209.85,0,13.2,45.3,10.37,22.53,4.53,0
 96-106,0,0,0,0,265.35,7.35,2.02,27.42,0,92.79,2.73,7.95,19.13,1.32,0.78,52.79,39.75,0,54.1,1.8,0,218.23,31.5,10.84,24.05,41.71,2.15,42.21,20.03,0,1.37,8.48,0,174.07,0,1.07,123.35,3.35,18.24,12.24,0
108-118,0,0,0,0,265.68,0.99,0,13.15,0,106.35,3.68,7.08,15.18,0,0.69,70.16,37.58,0,27.98,0,0,286.34,15.1,14.43,28.34,64.45,0.86,28.11,23.97,0,0,7.19,0,175.58,0,1.52,145.63,3.36,24.65,13.02,0.74
120,0,0,1.37,0,218.95,0,0,24.9,3.38,110.53,10.39,8.19,9.83,0,0,78.88,31.55,0,27.22,4.47,0,308.02,11.79,45.24,21.98,70.17,0,36.06,48,0,19,16.35,0,107.12,0,0,71,13.5,27.5,11.05,0
