stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.5,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06,7.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,21.22,0,1.04,0.93,0,1.51,0,16,0,0,0,0,0
 24-34,0,0,0,3.73,0,0,3.56,0,0,0,1.99,0,0,0,0,0,0,0,0,0.65,0,0,0,254.88,0,1.6,0,0,1.02,1.8,41.95,0,0,0,0,0
 36-46,0,0,0,0.94,0,0,27.41,0,0,0,2.34,0,0,0,0,0,0.61,0,0,7.28,0,0,1.45,609.94,0,2.07,1.46,0,1.07,0,99.84,0,0,0,0,0
 48-58,0,0,0,12.78,1.63,0,149.42,0,6.07,0,14.58,0,0,0,0,0,0.44,0,0,16.02,0.59,0,9.07,1016.07,0,1.95,1.22,0,2.11,1.22,173.36,0,0,0.52,0,7.48
 60-70,0,0,0,0,3.33,0,197.29,0,0,0,23.96,0,0,0.9,0,0,0,1.98,9.3,9.25,0,0.87,1.94,1205.36,0,2.13,0,0,1.86,0,182.58,0,0,1.86,0,0
 72-82,0,0,0,2.71,1.23,0,252.13,0,0,0,20.8,0,0,0,0,2.68,0,3.06,0,21.61,0,0,0.63,1272.1,0,2.3,0.69,1.67,2.29,0,176.36,0,0,1.99,0.93,0
 84-94,0,0,0,5.49,3.37,0.8,186.45,0,0,0,35.09,0,0,0,1.28,1.29,0.95,0,0,6.91,0,0.73,0.58,871.12,0,0.66,10.85,0,1.7,0,94.65,1.21,0,2.54,1.34,0
 96-106,0,2.46,0,9.83,11.41,3.52,143.77,0,5.65,0,32.04,2.41,0,0,0.68,0.6,0.92,11.11,0,22.48,0,0,2.71,735.06,0,6.9,2.01,0,5.54,0,69,0,0,1.31,0,0
108-118,0,0,0,16.76,1.13,2.73,134.05,0.46,0,1.29,17.39,0.73,0,0,0,1.08,0,0.7,0,19.13,0,0,0,1014.08,0,6.12,11.74,0,2.26,1.37,47.7,1.24,0,0.99,0,0
120,0,0,0,0,0,0,137.18,0,1.45,0,45.98,0,0,0,0,0,0,3.23,0,18.74,0,6.84,2.94,1495.25,0,0,6.17,0,0,1.13,51.24,0,2.12,6.37,0,0
