stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0,55.68,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.32,5.5,0,0,127.36,0,0,0,0,0,23.78,0,0,0,0,0
 14-21,0,2.74,0,0,0,0,0,1.56,0,0,7.89,0,0,0,0,0,0,8.51,0,0,56.86,10.12,2.1,0,0,0,0,0.9,26.38,0,358.88,614.75,11.21,0,0,0,0
 24-34,0,2.13,0,5.93,155.67,0,0,2.78,0,0,21.27,0,0,0,0,0,0,6.83,0,0,69.71,131.13,0,2.97,2.11,0,9.18,0,0,0,276.9,287.53,13.87,0,2.93,0,0
 36-46,0,0,0,9.98,342.45,0.58,0,6.07,0,0,5.39,0,0,0,0.7,0,0,9.14,0,0,65.2,72.22,0.55,0.91,0,14.18,5.9,0,0,2.11,245.44,15.28,17.58,1.37,2.68,0,2.32
 48-58,0,3.69,0,34.12,203.06,2.33,0,14.22,0,0,7.61,0,0,0,0,0,1.15,11.33,0,0.49,50.32,116.8,0,2.09,2.73,0,8.15,0,0,0,187,0.55,20.51,0,5.14,0,1.08
 60-70,0,7.85,0,36.82,152.93,0,0,0.76,0,0,2.75,0,0,0,0,0,0,39.48,0,0,50.76,125.63,0,4.08,0,2.43,12.61,0,0,0.59,109.4,0,14.77,0.6,1.09,0,0
 72-82,0,0,0,28.08,74.49,0,5.69,4.45,0.66,0,0.65,0,0,0,0,0,0,18.81,0,0,21.47,52.93,0,0.75,0,0,0,0,0,1.31,42.45,0,9.05,0,0,0.79,0
 84-94,0,2.22,9.95,27.68,119.71,0,0.83,7.28,0,0,4.01,0,0,0.73,0.83,0,0,21.27,0,0,40.32,49.01,0,0,0.55,0,12.31,0,0,2.29,76.99,0,0,0,5.56,0,8.24
 96-106,0,3.28,3.82,42.43,174.6,0,0,11.05,1.07,0,0.72,1.47,0,0,0,5.63,0,13.96,0.97,0,39.98,39.54,0,0.81,1.72,1.2,2.43,0,0,0.84,58.09,0,0,1.23,8.58,1.5,0
108-118,0,4.27,5.42,32.49,108.47,0.55,0,12.5,1.32,0,6.6,0.98,0.64,0,1.36,2.95,0,9.64,0,1.29,33.65,44.42,0.87,0,0,0,2.55,0,0,2.6,36.38,0,0,0,0,0,1.31
120,0,0,5.85,13.94,104.93,0,0,5.52,0,0,1.15,0,1.28,0,1.54,0,0,25.82,0,0,52.25,90.06,0,0,0,0,0,0,5.59,0,19.4,0,0,0,0,0,0
