stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,46.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.85,0,0,3.97,0,0,0,0,0,0,0,24.99,0,0,0,8.62,0,7.76,0,0,0,0,0,0,0,0
 10-12,23.99,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,16.7,4.29,0,0,3.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,0,0,0,1.06,0,0,0,0,0,0,0,2.08,5.76,2.16,0,0,0,0,0,0.82,0,1.77,2.67,0,0,0,0
 24-34,0,0.81,0.62,0,1.65,0.74,0,0,0,0,0,0,4.77,0,1.12,51.58,0,11.28,1.21,0,0,0,0,1.06,0,7.07,0,0,0,3.2
 36-46,0,1.35,0,0,7.32,0,2.12,0,0.71,0,0,0,5.13,0,0.64,150,0,10.91,0,0,0,0,0,1.05,0,7.12,0,0,0,1.58
 48-58,0,0,3.02,0,6.54,3.63,0.59,0,0,0,0,0,2.82,0,0.6,198.73,0,1.62,0,0,0,0,0,8.09,0,11.77,0,0,0,3.99
 60-70,0,0,0.63,0,8.6,4.2,1.06,0,0,1.96,0.59,0,2.05,3.5,0,350.01,0,0,0,0,0,0,0,19.81,0,13.5,0,0,0,0.77
 72-82,0,0,0,0,23.48,16.8,4.38,0,0,12.45,0,0,5.38,0,0,364.66,0,1.62,0,0,0,0,0,2.64,0,7.94,1.69,0.73,0,2.76
 84-94,0,0,1.46,0,19.03,1.75,6.21,0,0,1.42,0,5.31,5.08,0,0,260.87,0,2,0,0,0,0,0,2.49,0,8.59,0,0,0,3.72
 96-106,0,0,1.15,0,11.39,2.81,1.45,0,0,4.33,0,0,4.71,0,0,226.12,0,8.76,0,0,0,0,0,0.97,0,0,0,1.39,0.87,1.38
108-118,0,0,0,0,7.12,6.57,4.3,0,0.78,9.88,0.66,0,11.15,0,0,252.23,0,3.33,0,0,0.43,0,0,0,0,0.7,0,0,0,0
120,0,0,1.09,0,9.5,0,11.92,0,3.96,2.22,0,0,1.25,0,4.8,564.17,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0
