stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,31.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.5,0,0,0,3.52,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,10.05,6.14,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.66,0.82,0,1.44,0,0,0,1.08,0,0,0,0,0,0,1.33,0,0,0.85,19.95,1.29,0,0,0,0,0.85,4.21,0,0,0
 24-34,0,0,2.38,0,0,1.25,1.94,0,0.76,0,0,0,0,0,0,0.95,3.11,0,0,8.73,35.47,1.36,0,0,1,0,1.26,7.21,0.76,0,2.6
 36-46,0,0,2.79,0,0,25.37,0,1.24,0,0,0,0,0,0,0,0,6.23,0,0,1.62,34.75,1.69,0,0,0.61,0,0,25.64,6.06,0,5.43
 48-58,0,0,0,0,0,11.74,0,0.41,7.12,0,0,0.69,0,0,0,1.1,9.53,1.05,0,4.1,57.09,0,1.54,0,1.62,0,0,11.83,0.41,0,0.59
 60-70,0,0,3.59,0,0,25.31,0,4.27,0,0,0,0,0,0,0,1.94,21.18,0,0,0,20.24,1.31,0,0,0.58,0,0,2.38,0,0,0
 72-82,0,0,0.82,0,0,21.29,0.5,3.98,2.67,0,0,1.42,0,0.53,0,1.79,37.65,0,0,5.4,25.33,0,0,0.87,0,0,0,0,2.49,2.78,0
 84-94,0,0,1.59,7.4,0,22.59,3.54,8.13,0.76,1.12,0,0,0,0,0,4.37,44.03,0,0,0.68,30.99,0,0,0,2.23,1.35,0,0,0,0,5.07
 96-106,0,0,3.78,0,0.6,36.47,0.57,0,21.97,0,0,0,0,0.61,0.57,0.77,33.31,0,0,0,20.86,0,0,0,0.7,0,0,0,0.61,0,2.98
108-118,0,0,0,0,0,22.42,0,3,16.01,0,0,2.36,0.45,0,0.62,0,31.09,0,0.75,3.95,21.09,0,0,8.04,0,0,0,0,0,3.86,7.45
120,0,0,0,0,0,2.94,0,0,5.27,1.02,0,0,0,0,0,0,26.98,0,0,1.26,29.82,0,0,0,0,0,0,0,0,0,8.31
