stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,0,54.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26,0,0,0
  7-9,0,5.84,0,0,0,0,0,0,0,0,0,0,0,17.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94,0,0,3.54,0,0,0,0
 14-21,0,0,0,1.49,0.87,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,64.94,2.1,0,0,1.35,0,1.39,0
 36-46,0,0,0,0,0.7,0,0,6.77,0,0,0,0,0,37.62,0.81,0,0,12.1,0,0,0
 48-58,0,0,0,0,0,0.45,0,0,0,0,0,1.84,0,32.7,2.64,0,0,0,0.43,1.53,0
 60-70,0,0,0,0,1.21,0,0,0,0,0,0,18.54,0,32.94,1.4,0,0,2.18,0,3.01,0
 72-82,0,0,0,0,5.12,0.7,0,0,0,0,0,14.4,0,54.16,0,0,0,0,0,0,0
 84-94,0,0,1.54,0.64,7.94,1.09,0,0,0,0,0,6.98,0,64.07,0,2.45,0,0,0,0,0
 96-106,0,0,0,0,16.93,0,0.65,0,0.66,0,0,3.52,6.61,119.13,0,0,0,0.7,0,12.13,0
108-118,0,0,0,0,16.36,1.78,0.67,0,0.55,0,0.85,7.16,0,186.84,1.98,4.63,0,1.5,0,0,1.13
120,1.12,0,15.51,0,8.16,0,2.55,0,0,1.1,0,2.02,0,435.43,5.13,0,0,0,0,0,0
