stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.96,66.53,17.08,0,23.45,0,0,0,10.96,9.89,0,0.84,0,0,0,0,0,0,30.02,0,0,47,267.69,25.85,0.95,0.96,37.28,0,1.31,40.37,7.97,0.86,61.88,91.58,0,0,3.65,0,0
 24-34,0,0.97,2.39,49.44,1.22,0,68.5,0,6.23,2.98,35.09,2.36,0,2.12,0,1.38,0,3.37,0.9,0,146.39,0.95,0,57.74,1093.14,17.43,9.13,4.59,0,1.98,2.87,0,15.51,3.53,38.08,190.39,0,0,47.65,0,0.72
 36-46,0,0,0,47.81,1.2,0,283.93,1.64,12.04,11.41,108.8,0,0,8.74,0,0.61,0,2.81,2.19,2.78,313.64,3.96,6.32,35.03,2212.16,15,8.3,11.31,0,3.82,3.85,0,12,5.44,2.72,459.05,0,1.04,66.59,0,5.34
 48-58,2.12,0.68,0.43,36.3,0,0,857.44,0.85,9.61,13.8,236.72,0,1.66,7.7,3.86,1.33,0.41,2.59,0,12.79,368.66,0,19.72,36.45,2521.4,4.82,6.32,20.92,0,3.22,11.15,0,2.33,1.17,0,559.57,0,2.72,52.45,0.5,7.6
 60-70,0,0,0,41.83,0,0,2032.6,9.94,8.43,8.96,311.16,3.21,0.63,9.9,6.27,1.63,16.62,6.82,4.77,1.56,471.84,0,38.2,32.97,2307.94,6.31,13.39,22.25,0,4.89,17.37,0,4.86,0.67,0,445.52,2.02,19.47,42.96,6.51,15.81
 72-82,0,0.87,0,53.6,11.22,0,1186.52,2.4,15.6,17.32,265.55,3.11,0,11.92,0,3.21,0,11.43,3.37,8.98,560.41,1.66,44.63,33.54,2013.24,6.81,15.04,21.87,0,6.94,9.91,0,0.66,1.05,0,201.29,5.96,21.51,125.59,20.52,6.49
 84-94,0.62,2.8,0,97.15,1.44,1.09,1093.88,10.53,14.91,23.86,217.24,11.36,0.86,13.87,4.11,5.9,11.65,8.74,6.16,6.45,576.74,13.5,64.03,29.06,1406.06,16.32,9.37,28.1,0,1.57,43.25,0,7.3,2,0,106.73,9.95,22.69,73.23,26.73,11.97
 96-106,0,8.01,0,83.39,10,0,828.52,7.27,4.71,10.67,281.58,13.6,1.06,8.1,6.78,2.71,7.52,14.85,44.12,8.37,462.37,2.91,20.09,33.01,1062.67,1.53,21.14,38.24,0,18.03,39.55,0,0.6,0.73,0,75.63,15.89,19.62,160.15,16.01,4.02
108-118,0,1.91,0,72.62,1.16,9.53,705.77,3.14,16.12,10.71,203.78,11.22,0,5.97,3.7,10.79,20.13,8.18,4.7,0,441.61,0,26.52,32.57,1411.08,4.27,8.06,26.29,0,17.06,41.52,0,7.84,3.4,0,51.8,28.97,20.48,108.21,21.68,12.84
120,1.12,0,0,131.35,2.75,0,670.93,4.19,31.03,36.96,286.33,37.77,0,8.43,7.24,0,9.41,3.69,5.36,0,403.14,8.57,70.59,41.8,1375.67,16.33,4.34,38.08,0,2.76,50.42,0,14.71,0,0,75.03,23.67,25.63,162.88,11.51,0
