stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.27,78.15,12.21,0,34.89,0,0,0,10.27,3.11,0,0,0,1.18,0,0,0,0.88,60.48,0,0,42.64,616.35,7.27,4.93,6.48,7.08,0,18.1,0,54.67,0.81,3.19,60.04,198.72,0,0,10.36,0,0
 24-34,0.96,5.3,71.11,2.69,0,135.45,0,1.84,1.88,49.49,1,0,11.13,0,2.21,2.16,3.1,2.25,2.76,167.51,1.67,4.2,72.05,1979.09,3.42,11.84,17.33,0,1.61,90.55,0,1.59,2.04,0,11.44,439.05,0,0,46.49,0,0
 36-46,0,1.37,42.28,4.25,0,327.04,0,24.79,5.1,117.67,0,0,4.78,2.9,0,8.43,3.33,0.66,1.29,223.96,8.83,7.25,54.06,2538.76,11.9,11.14,8.59,0,0,104.68,0,0,1.32,3.9,0,518.98,0,0,39.24,0,6.53
 48-58,0,0.63,51.7,0,0,657.77,1.31,12.05,18.67,204.08,3.62,0,2.52,4.18,5.45,15.02,5.44,9.81,21.2,353.13,3.59,6.6,69.81,2364.32,39.12,4.12,19.15,0,0,62.19,0,0,0.65,3.11,0,637.35,0,0.44,39.45,1.4,28.09
 60-70,4.68,0,54.47,5.88,0,1216.95,1.42,8.58,9.38,193.42,8.55,0,7.45,4.31,1.64,2.71,9.63,0,9.48,535.92,17.32,16.04,66.25,3037.99,5.17,6.68,11.77,0,1.08,67.93,0,0,0.63,2.83,0,463.57,3.5,4.32,28,3.08,10.25
 72-82,1.01,0,50.27,44.47,0,728.79,1.29,9.25,23.22,183.32,7.09,0,6.07,11.05,4.62,6.07,17.64,4.27,0,538.41,4.12,14.88,34.91,1906.43,3.01,15.41,25.17,0,0,67.36,1.65,0,0.68,0.53,0,229.7,3.93,10.44,73.87,7.52,12.83
 84-94,3.5,3.05,111.36,28.61,2.96,731.77,1.16,22.48,27.95,175.79,11.43,2.41,10.42,28.21,9.17,7.36,11.56,2.77,6.9,597.44,8.47,27.61,46.66,1554.21,9.42,13.02,38.43,0,10.6,120.49,0,0,4.89,0.62,0,181.88,11.84,22.43,80.08,12.08,22.79
 96-106,0,1.03,68.53,67.77,0.62,531.01,7.98,11.38,10.39,168.87,15.61,0,7.14,21.89,5.19,10.83,17.8,12.13,9.02,452.76,9.26,19.22,30.46,1135.83,1.28,16.88,16.11,0,4.17,140.98,5.44,0,2.84,9.11,0,83.94,7.85,6.43,69.65,15.55,5.76
108-118,3.91,0.93,97.08,52.84,12.29,483.59,15.14,25.42,25.65,205.76,18.18,0,4.8,28.16,9.27,20.66,4.24,8.23,3.77,515.23,4.92,18.8,26.37,1250.27,15.29,17.2,29.75,0,13.94,93.72,0,0,1.99,0.43,0,51.42,9.46,13.81,71.24,12.68,22.57
120,12.36,3.17,138.75,135.3,0,487.44,27.01,9.55,14.19,386.04,11.21,0,16.54,22.19,13.43,27.53,33.05,4.16,0,533.69,0,25.69,42.99,2102.94,14.69,30.22,37.46,0,0,100.69,0,0,11.1,2.35,0,22.09,17.53,15.29,111.09,34,3.14
