stage,epidermis,eye,glial,gut,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,taste,vasculature
 14-21,0,0,0,0,1.97,0,1.06,3.74,4.77,0,0,0
 24-34,1.01,0,0.73,0,0,0,1.59,2.8,8.36,1.79,0,1.01
 36-46,0,0.61,0,0,1.27,0,0,3.24,2.04,1.78,0,0
 48-58,0,0,0.93,0,0.37,0.38,0.41,5.31,0,1.25,0,0.46
 60-70,0,1.82,0,0,0,0,0,11.96,9.73,1.73,0,0.93
 72-82,1.05,0.87,0,0,0,0,0,12.76,0,0,1.01,0
 84-94,0,2.07,1.24,0,0,0,0,0.94,3.44,0,0,0
 96-106,0.77,1.57,0,0,0,0,0,0.69,0,0,0,0
108-118,0,4.33,0,1.89,0,0,0,6.7,0.59,0,0,0
120,0,20.93,0,0,0,0,0,26.43,1.26,0,0,0
