stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,0,0,14.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,0,3.02,0,0,0,0,0,0,0,0
 14-21,0,1.07,0.87,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,18.62,2.16,0,0,0,0,5.95,4.96,9.54,0,0,0,0
 24-34,0,0.9,0.81,0,0,0,0.91,1.31,0.62,0,0,0,0,0,0.83,0,0,0.63,100.15,1.57,4.35,0,0,4.52,1.84,0,9.23,0,1.25,0,0
 36-46,0,0,1.64,0,0,13.01,0,1.75,0,0,0,0,0,0,0.81,0,0,0,161.37,0,4.57,0,0,3.78,0,0,15.29,0,0,0,0
 48-58,0,0.53,0,0.37,0,18.09,0,0,3.06,4.55,0,0,0,0,7.43,0,0,2.13,314.17,0,7.12,0.42,0,9.41,0.4,0,11.52,0,0,0,0
 60-70,0,0,0.86,0,0,28.33,0,0,7.85,10.38,0.6,0,0,0,4.19,1.01,0,0,350.59,0,0,0,0,3.47,3.38,0,17.97,0,0,0,0
 72-82,0,2.64,8.02,15.52,0,119.85,1.4,0,1.71,25.57,4.07,0,0,0,10.49,1.23,1.19,0.66,635.32,1.92,9.67,0,0,1.14,0,0,34.05,0,1.13,0,4.19
 84-94,0,5.69,2.34,0.67,0,98.26,2.36,0,7.16,8.47,0,0,0,1.49,11.98,0,0,0,416.15,0,1.87,0,0,3.97,0.55,0,14.26,1.67,4.02,0,0.61
 96-106,0,0,13.98,3.04,0,173.77,8.36,0,1.07,15.77,13.98,0,1.05,0.84,12.81,4.65,0,1.94,490.27,0,6.4,0,0,0.7,0,0,15.85,0,0,0,0
108-118,0,0.77,0.99,4.03,2.73,63.73,1.7,2.62,3.09,21.46,6.52,0,0,3.9,7.28,0,0,0,549.14,0,2.39,0.76,0,5.21,0.47,0,9.4,0,0.59,1.42,0
120,0,0,0,0,0,103.13,13.62,3.37,2.45,36,9.98,8.01,0,0,2.6,0,0,0,663.91,0,2.28,0,0,0,0,0,3.5,0,0,7.69,0
