stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.43,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.28,357.7,9.08,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,103.59,0,0,8.65,0,18.49,0,0,0,0,0,0,0,0,0
  7-9,22.82,23.91,59.72,0,0,3.53,0,0,0,0,38.93,0,0,0,0,0,0,0,57.35,18.08,0,605.07,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,45.08,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0,0,94.83,31.57,0,1404.32,0,0,22.2,77.02,0,18.29,0,0,0,0,0
 14-21,0,0,0,6.16,4.69,0,0,0,0,0.85,0,0,0,0,0.8,0,0,34.6,17.46,0,0,0,0,0,49.81,0,5.73,162.26,1.23,0,5.67,0,0
 24-34,0,0,0,0.66,0.76,0,0.82,0.83,0,0,0,0,0,0,37.7,0,0,39.17,2.08,1.54,0,0,0,0,0,0,0,8.33,3.07,0,22.44,0,0
 36-46,0,0,0,0.68,0,1.49,0,10.56,1.05,0,0,0.68,0,0,81.85,0,0,24.34,4.71,6.97,0,0,0,0,0,0,0,1.34,0,0,14.73,0,0.85
 48-58,0,0,0,0,1.4,0.47,0,1.81,0,0,0,0.58,0,0,73.32,0,1.17,18.42,16.87,4.44,0,0,0,0,0,0,0,0,2.03,0,13.5,0,0
 60-70,0,0,0,0,0,2.42,0,3.53,4.42,0,0,14.48,0,0,112.97,0,0,12.78,1.35,8.41,9.66,0,0,0,0,0,0,0,0,2.62,9.45,0,0
 72-82,0,0,0,0,0,5.62,0,7.74,31.42,0,0,0,0,0,96.99,0,4.61,17.55,1.79,2.71,0,0,3.01,0,0,1.23,0,0,0,1.26,26.71,0,0
 84-94,0,0,0,3.09,5.13,1.35,0,1.43,13.64,0,0,0,0,1.42,94.64,0,0,3.36,1.3,1.84,0,0,0,0,0,0,0,0,0,0,17.98,0,0
 96-106,0,0,0,2.53,1.66,1.45,1.28,1.52,19.45,0,0,0,0,0,64.94,3.47,2.51,8.4,3.93,2.08,0,0,0,0,0,0,0,0,0,3.55,22.43,0.93,0
108-118,0,0,0,2.55,0,5.7,0,0.83,40.83,0,0,0,1.03,4.21,69.47,0,0,4.07,13.48,0.87,0,0,0,0,0,0,0,0,0,0.9,21.01,0,1.44
120,0,0,0,0,0,1.73,0,1.49,25.09,0,0,0,0,1.05,59.54,0,0,2.44,17.17,0,0,0,0,0,0,0,0,0,0,0,59.86,0,3.64
