stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,17.67,85.17,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,5.76,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.24,0,0,0,22.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.21,6.15,0,0,27.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,1.83,0.92,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,2.54,36.39,0,0,0,0,0,0.89,1.7,0,2.46,4.79,8.71,0,0,0,0,0
 24-34,0,0,0,0,0,0.62,0,0,0,2.01,0,0,0,0,0,0,0,0,0,7.21,0,2.99,389.76,0,0,0,0,0,7.14,0,0,0,1.25,33.08,0,0,0.79,0,0
 36-46,0,0,0,0,0,4.59,0,0.69,0,0.64,0,0,0,0,0.91,0,0,0,2.39,26.2,0,3.21,1124.56,0,8.1,0,0,0,0,0,0,0,0,64.67,0,0,4.08,0,0
 48-58,0,0,0,10.45,0.54,70.73,0,0,0.49,59.11,0,0,0,0,0,0,0,7.53,1.33,18.94,1.51,6.63,2507.99,0,0.39,0,0,0,0.6,0,0.39,0,0,118.38,0,0,2.5,0,3.52
 60-70,0,0,0,16.73,3.14,258.41,0,1.1,2.5,42.37,0,0,0,0,0,0,0,0,0,42.53,12.27,1.5,5183.39,0,0.96,0,0,0,4.22,0,0,1.8,0,160.44,1.44,2.9,2.38,0,7.21
 72-82,0,0,0,18.28,3.81,422.18,0,0,1,37.26,3.86,0.65,0,0,0.53,0,0.99,0,0,70.92,0,1.94,4168.98,0,2.41,3.9,0,0,3.65,0,0,0,0,151.47,0,1.33,2.17,2.13,0
 84-94,0,0,0,20.86,2.98,388.29,0,0,1.27,55.28,0.66,0,0.7,1.2,1.25,0.67,0.69,0,0,47.74,8.49,3.37,2837.84,0,0.55,0,0,0.6,0.6,0,0.56,0,0,136.04,0,1.76,5.6,1.09,7.88
 96-106,0,0,0,12.65,3.96,298.29,0,0,6.04,27.31,2.25,0,0,3.85,1.97,0,0,4.05,0,48.87,11.91,3.48,2104.09,0,0.57,0.73,0,0,8.03,0,1.88,0,0,57.07,0.83,2.81,4.65,0,6.04
108-118,0,0,0,39.1,6.7,215.06,0,1.31,5.97,18.16,1.54,0,2.97,1.29,0,2.92,0,4.08,0,40.9,0,4.58,2272.93,0,3.24,0.89,0,0,1.58,0,0.42,0,0,49.33,1.77,0,0.88,0.57,0
120,0,0,0,8.53,0,596.04,2.29,1.77,17.28,46.81,0,0,1.61,3.59,0,0,0,0,0,75.65,18.43,7.28,3948.12,0,21.51,11.45,0,7.72,2.82,0,2.43,0,0,40.89,0,0,13.49,0,0
