stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,41.72,1035.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0
  5-6,36.57,562.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.78,17.23,0,0,8.27,0,34.96,0,0,0,0,0,0,0,0,0,0
  7-9,7.23,17.99,0,0,0,0,0,27.42,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,205.12,6.52,0,0,60.59,0,3.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.65,0,0,0,27.72,0,0,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0,0,442.6,0,0,0,97.57,0,6.84,0,20.89,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,3.18,31.77,16.64,0,12.53,0,0,0,5.32,0,0.98,0.81,0.85,1.77,0,0,0,0,13.24,0,0,11.54,156.38,5.73,1.1,1.05,0.86,0,12.65,11.64,1,6.21,24.72,55.34,0,0,7.63,0,0
 24-34,0,0,0.62,0,32.97,0.67,0,26.17,0,2.99,2.12,15.91,0,0,7.57,4.56,0.62,0,1.64,0,6.14,33.91,0,0.91,13.56,550.6,1.88,3.84,5.53,0,0,45.84,0,0.66,0,10.2,111.39,0,0,57.08,0,0
 36-46,0,0,0,0,2.86,0,0,75.51,1.13,26.99,4.48,25.22,0,0,1.58,8.6,4.54,2.53,3.25,0,4.29,52.45,1.45,2.16,9.21,524.21,2.66,5.43,2.89,0,0,59.72,0.9,3.56,0,0,102.78,0,0,44.9,0,3.09
 48-58,0,0,0,0,3.67,0,0,97.31,0,5.85,4.93,71.12,0,0,7.36,10.31,0,0,1.14,0,2.02,74.62,0.52,0.94,12.14,342.94,6.44,1.97,1.3,0,0,29.11,0,1.05,0,0,75.2,0,0.42,15.84,0,2.03
 60-70,0,0,0,0,27.45,0.66,0,261.94,1.02,7.34,14.21,110.62,0,0,0,12.16,2.65,0,0,1.7,0,88.6,0,0.65,2.47,405.9,0,0,10.58,0,6,24.26,0,0,2.44,0,56.75,0,1.66,31.01,0.89,16.26
 72-82,0,0,0.5,0,17.26,15.29,0,189.64,1.87,1.92,10.77,74.61,0.63,2.07,6.43,8.52,1.02,0,2.96,0,0,102.85,2.96,0.81,11.83,298.81,0,7.66,4.79,0,0.87,12.05,0,0.5,0,0,43.81,4.21,0.66,33.38,3.16,10.09
 84-94,0,0,1.65,0,12.24,9.76,0.9,190.39,0,7.61,4.76,41.95,0.76,2.07,9,9.55,2.37,0,0.76,1.19,0,74.2,4.15,5.1,3.78,179.93,0,2.17,7.28,0,0,35.39,0,0.6,0,0,18.02,4.36,4.61,43.42,4.15,0
 96-106,0,0,0,0,20.11,8.37,0.77,114.98,0,0.61,2.75,51.64,5.34,0,0.73,3.17,2.23,0,3.49,9.81,0,81.73,0,0,1.81,167.36,0,1.63,7.92,0,0,27.79,0,1.39,0,0,4.02,3.35,0,38.85,5.08,10.56
108-118,3.02,0,0.61,0.74,20.25,0.44,8.12,153.02,1.08,8.49,4.7,39.66,3.24,0,2.03,6.38,1.65,4.43,5.07,6.05,0.83,67.02,1.84,6.85,3.7,221.19,0.42,8.94,16.84,0,0,28.94,0,0,0,0,1.97,1.45,2.56,42.35,5.91,2.82
120,0,0,3.01,0,56.51,0,0,127.37,0,9.34,7.03,131.05,13.31,0,0,11.08,4.37,3.92,1.77,0,0,77.3,0,9.18,4.03,271.04,0,14.77,1.05,0,0,17.75,0,1.2,0,0,25.75,0,0,9.94,8.02,0
