stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,490.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9,0,0,0,0,0,0,0,0,0,0
  5-6,23.93,428.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.68,0,0,0,0,226.53,0,0,0,0,0,0,0,0,0,0
  7-9,24.11,8.89,0,60.29,0,0,17.32,0,0,0,0,967.97,0,0,0,0,0,0,0,0,0,0,136.03,0,0,0,30.18,3.29,7.32,0,0,0,0,0,0,0,0,0
 10-12,9.78,4.57,0,57.79,0,0,53.2,0,0,0,0,1669.78,0,0,0,0,0,0,0,0,0,0,242.13,0,0,0,33.69,0,0,0,15.21,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.67,28.42,2.12,0,0,2.23,0,97.82,0,0,0,0,0,1.16,45.5,0,0,22.7,87.11,0,1.07,0,0,0,1.27,1.75,2.76,3.09,15.1,0,0,0,0,0
 24-34,0,0,1.71,0,2.78,0,11.84,1,0,2.81,0,0,0.9,0,0,0,0,0,7.12,0,0,1.68,167.24,0,64.18,0,0,2.45,0,0,0.78,0,55.6,0,0,4.05,0,0
 36-46,0,0,0.85,0,0,0,10.95,0,0,3.13,0,0,19.43,0,0,0,0,1.07,21.57,0,1.94,3.33,456.5,0,119.36,0,0,0,0,0,0,0,57.44,0,0,1,0,0
 48-58,0,0,9.04,0,0,0,51.2,0.39,0,8.97,0,0,29.06,0,0,0,0,0,7.76,0,7.55,0.85,529.49,0.45,47.91,0,0,3.48,0,0,0.89,0.46,77.87,0,0,0,0,3.05
 60-70,0,0,0,0,10.38,0,58.43,0,0,4.65,0.63,0,102.43,0,0,0,0,0,24.5,0,0,1.2,649.62,0,85.47,0,0,0,0,0,0,0,137.19,0,0,0,0,8.2
 72-82,0,0,0,0,3.76,0,72.58,0.55,0,7.53,0,0,6.89,0,0,3.05,0.53,0,21.66,0,1.28,0,1406.82,0,63.2,2.28,0,0,0,0,0,0,132.69,0,0.99,2.11,0,2.83
 84-94,0,0,0,0,4.89,0,60.8,0,2.34,23.22,0,0,14.07,0,0,1.02,0,0,25.38,0,4.7,3.38,1188.46,0,54.48,1.22,0,0,0,0,0,0,133.2,1.17,0,0,0,0
 96-106,0,0,0,0,1.36,9.09,42.78,0,0,43.13,0,0,0.96,0.81,0,3.7,0,0.76,21.64,0,0,2.33,724.39,0,123.88,1.16,0,0,0,0,0,0,40.28,0.74,0,1.23,0,4.97
108-118,0,0,0,0,3.38,0,56.86,0,0,40.76,0,0,5.97,0,1.01,0,0,0,16.58,0.77,0,1.29,854.41,0,100.67,0,0,0,0,0,0,0,48.31,1.17,0,3.98,0,2
120,0,0,0,0,1.16,0,23.77,0,0,9.67,0,0,0,0,0,4.88,0,0,38.46,0,0,1.5,1809.51,0,86.96,0,0,0,0,0,6.44,0,1.64,0,0,0,3.69,0
