stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,0,0,0,0
  7-9,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31,10.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,4.49,0,0,0,0
 14-21,0,0,9.43,28.66,1.08,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,2.17,0,0,0,0,1.18,1.37,0,0,0
 24-34,0,0,3.99,26.46,0,4.55,0,0,0.59,0,0,0,0,0,1.67,0.94,0,0,0,0,0,5.59,11.38,0,0,0,1.41,51.49,0,0.72,0
 36-46,0,0,0,8.85,0,0.63,2.09,0,0,0.66,0,0,0,0,0,0,0,0.93,0,0,0,1.99,33.63,0,0,0,2.82,110.53,0,0,0
 48-58,0,0,0,5.49,0,0.86,0.41,0,1.63,5.13,0,0,0,0,0,0,0,0.51,0,0,0,16.79,50.95,0,0,0,0,121.6,0,1.02,0
 60-70,0,0,0,3.73,0,3.39,0,0,0,2.38,0,0,0,0,0,7.52,0,0,0,0,0,8.62,42.94,0,0,0,0,116.15,0,0,0
 72-82,0,0,0,1.34,0,11.09,0,2.27,3.56,16.3,0,0,0,0.59,0,185.35,0,6.86,1.23,0,0,33.5,20.94,1.65,0.59,0,0,162.44,0,1.44,1.22
 84-94,0,0,0,7.57,4.31,11.98,2.61,0,0,34.89,0,0,1.49,0,0,462.03,0,0.92,0.57,0,0,17.18,47.11,0,0,0,2.87,353.82,0.63,0,0
 96-106,1.12,0,0,7.44,1.15,54.92,1.53,0,13.33,29.66,0.92,2.38,0,0,1.64,790.52,1.15,19.15,1.74,0.69,0,85.72,29.16,0,2.09,0,9.57,349.84,0.74,0.83,2.64
108-118,0,0,0,1.39,1.36,30.25,4.28,0,5.42,28.81,1.01,1.75,0,0,0.86,1623.66,0,15.15,0,2.55,0,104.17,45.58,0,0,5.05,8.64,347.09,0,6.93,0
120,0,0,0,1.28,0,9.15,0,0,12.17,7.76,0,0,0,10.87,0,761.67,0,3.05,0,1.45,11.51,63.23,37.2,0,0,0,0,198.83,0,9.45,0
