stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.96,879.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.48,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.7,445.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,37.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.9,0,0,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.7,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.66,0,3.34,0,0,0,35.92,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,250.24,28.91,0,0,26.69,0,0,5.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1.91,0,0,0,0.81,2.88,0,0,0,0,0,0,2.94,3.89,0,0,6.86,31.81,8.54,1.87,0,0,0,0.87,2.13,0.9,2.11,2.15,6.43,28.61,0,0,0,0,1.36
 24-34,0,0,0.89,0,3.84,0,0,2.32,0,1.71,0,0,0,0,0,3.03,0.62,0,0,0,1.55,0,0,11.47,46.4,0.7,22.83,5.64,0,0,1.27,0,0,18.6,0,1.09,16.51,0,0,0,0,21.85
 36-46,0,0,0,0,1.96,0,0,2.27,3.98,0,0,2.02,0,0,0,5.62,0,0.74,2.76,15.36,10.18,0.56,0,3.18,28.59,0.6,13.16,3.4,0,0,0,1.47,0,24.88,0.56,0,13.17,0,0,0,0,50.21
 48-58,0,0,0,0,8.32,0,0,15.29,0,0,0.57,26.3,0,0,0.9,6.2,0.37,2,0,0,23.01,0,0,3.17,49.74,0,17.45,11.12,0,0,20.25,0,0,26.76,0.4,0,3.49,0,0,2.13,0,17.04
 60-70,0,0,0,0,2.69,0,0,43.42,5.04,0,0.64,33.3,3.6,1.71,0,6.98,0,9.57,2.92,0,65.37,0,0.94,2.66,29.84,0,11.68,9.5,0,1.64,48.79,0,0,8.13,1.26,0,27.99,0,0,0.79,0,29.72
 72-82,0,0,0,0.75,3.09,0,0,64.08,0.96,0.51,3.31,47.8,0.55,0,1.6,5.18,0.53,6.58,2.66,0,133.36,0,1.75,18.37,54.11,0,32.31,35.3,0,2.17,29.86,0,0,22.75,1.59,0,15.31,0.78,0,6.16,2.82,22.45
 84-94,0,0,0,0,7.79,4.14,0,34.69,0.69,0.62,14.29,34.64,0,0,0,20.26,0.55,27.95,3.49,1.39,80.57,0,0,17.5,46.54,0,27.9,34.34,0,0,81.54,0,0,25.05,0,0,11.94,1.06,1.13,4.68,2.96,8.53
 96-106,0,0,1.08,0,4.41,7.68,0,59.17,0.64,2.1,5.73,56.75,3.28,0,0.96,20.54,9.33,24.73,7.77,6.14,105.83,2.74,2.02,10.21,57.9,0,45.46,37.88,0,7.76,89.54,0.93,0,28.12,0,0,5.54,0,0,2.23,5.91,9.83
108-118,0,0,0,0.74,13.11,0,1.26,69.63,4.23,3.05,1.84,37.42,2.91,0,0.86,16.66,2.96,48.69,7.04,11.96,115.47,0,5.18,18.4,93.4,0,18.58,26.97,0,2.78,93.74,0,0,12.51,0.5,0,6.2,0.42,0,1.37,0.91,39.33
120,1.12,0,0,1.28,13.6,0,1.03,105.28,3.33,2.27,1.67,76.97,6.64,0,1.85,14.82,9.97,17.94,6.87,21.03,120.89,0,5.31,11.92,119.25,0,34.47,28.46,0,0,94.86,0,0,16.59,0,0,0,0,0,9.95,0,5.91
