stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.09,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.61,1084.59,0,0,6.11,0,10.84,0,4.72,1.2,4.31,0,1.07,0,0,0,24.19,4.6,0,71.22,4.03,0,0,0.95,0,0,0.81,0,0,1.88,21.63,0,0,0,0,0
 24-34,0,0,4.31,1989.85,2.08,0,46.01,0,107.95,0,23.37,0,0,0,0,0,0,0.61,19.4,14.13,0,45.4,76.32,0.97,1.23,15.42,0,8.43,0,1.15,0,1.19,76.48,0,0,1.68,0,0
 36-46,0,0,0,719.54,0,0,44.23,0,60.99,0,2.52,0,0,0,0,0,0,6.38,36.47,5.22,0,0.59,54.73,0,0,13.35,0,1.78,0,4.74,0,0,59.89,0,0,0,0,7.13
 48-58,0,0,0.45,662.56,0.69,0,364.78,0,154.63,0,5.86,0,0,0,0,0,0,23.57,45.12,3.34,0,4.53,50.07,0,0,6.82,0,0.5,0,0,0,0,14.34,0,0,2.43,0,0
 60-70,0,0,0,395.74,0.87,0,536.07,0,73.41,0,0,15.09,0,0,0,0,0,0,13.37,4.58,0,0,26.14,0,0,0,1.11,0,0,0.6,0,0,7.36,0,0.82,0.63,0.57,0
 72-82,0,0,0,314.53,4.36,0,874.58,0,51.78,0,9.77,48.23,0,0,0.56,0,0,1.4,26.73,1.42,2.93,0,46.84,0,0,12.5,4.63,2.18,0,0,0,0,1.06,0,1.36,0,5.11,0
 84-94,0,0,0,619.3,11.59,1.54,2344.43,0,78.32,0,9,88.9,0,2.28,0.74,0,0.83,0,54.21,7.51,3.27,2.45,50.98,0,0,7.46,1.31,3.29,0,0,1.18,0,2.87,0.66,0,9.07,9.13,17.67
 96-106,0,0,0,394.66,6.68,0,2409.9,0,66.6,0,13.59,56.33,0,0,0.58,0,0,17.83,45.35,3.91,0,6.72,83.8,1.19,0.66,2.64,63.22,2.63,0,0,6.18,0,3.76,0,0,3.58,6.04,9.61
108-118,3.02,0,0,227.98,5,0,2386.2,0,33.17,0.94,11.62,47.69,0,0.66,0,1.25,0,10.58,54.5,0.62,1.51,3.96,94.5,0,0,7.28,40.27,3.9,0,0,0,0,13.39,19.15,0,2.41,3.72,5.99
120,0,0,0,139.53,3.26,0,658.57,2.94,33.25,0,0,51.78,0,5.68,0,0,2.07,1.23,12.74,0,0,0,62.64,0,0,5.53,8.28,6.02,0,0,0,0,0,0,0,10.86,0,0
