stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.32,0,0,0,0,0,0,0,33.47,0,0,0,15.45,0,0,0,0
 10-12,0,23.52,0,0,0,0,0,0,0,0,0,19.33,0,0,0,8.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.94,2.83,1.42,0,0,0,0,1.03,0.94,0
 24-34,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.33,3.12
 36-46,0,0,0,1.77,0,0,10.19,0,0,0,0,14.38,0,0,0,0,0,0,0,1.02
 48-58,0,0,0,1.75,0,0.42,0.61,0,0,0,0,1.7,0,0,0,0,0,0,0,1.89
 60-70,0,0,0,2.55,0,0,0.96,0,4.42,0.59,0,2.46,0,0,0,0,1.52,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0
 84-94,0,0,0.87,9.03,0,0,1.96,0,0,0,4.46,0,0,1.63,0,0,0,0,0,0
 96-106,0,0,0.71,0,2.93,0,0,0.85,0,0,1.88,2.45,0,3.11,0,0,1.78,0,0,0
108-118,0,0,0.67,0,0,0,0,0,0,0,1.7,1.92,0,0.97,0.48,0,0.54,0,0,0
120,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
