stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.08,4.54,0,0,18.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.44,0,1,0.99,0,0,0,0,114.7,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.23,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,764.71,0,3.23,2.21,0,2.05,0,0,270.94,0,0,0,0,0
 36-46,0,0,0,0,0,0,62.69,0,0,0,16.86,0,0,0,2.15,0,0,0,1.24,0,0,1.1,3037.34,0,0,2.19,0,0.58,0,0,383.07,0,0,2.68,0,0
 48-58,0,0,0,13.38,0,0,141.14,0,0,2.31,23.01,0,0,0,4.16,2.23,0,1.95,6.95,1.4,0,2.41,3650.13,0.39,1.78,4.59,0,4.43,4,0,358.69,0,0.84,0.45,0,0.97
 60-70,0,0,0,6.88,0,0,146.94,0,0,0.62,46.03,0.85,0,0,4.06,0,0,0,19.54,0,0.78,1.43,4254.58,0.61,0,10.63,0,0,0,0,261.34,0,0,4.4,0,8.48
 72-82,0,0,0,15.15,2.42,0,209.82,0,0,2.5,37.41,0,1.18,0,2.3,0.58,1.4,8.68,16.2,0,0,0.53,2476.1,0,1.18,20.95,0,2.25,0,0,146.24,0,0,0,0,14.96
 84-94,0,0,0,7.98,0,0,213.53,6.5,0.63,16.02,49.99,0,0,0,0.62,0,0,0,8.7,0,0.66,0.87,1765.72,0.89,1.13,18.43,0,1.67,0,1.39,110.6,0,0,0,0,0
 96-106,0,0.99,0,12.96,0,1.76,116.48,0,0,0,26.51,0,0,0.74,0.76,6.42,6.97,0,23.76,0,0,4.09,1348.72,0,0,25.71,0,4.58,0,0,26.82,2.26,1.16,0,0.67,0
108-118,0,0,0,14.81,1.89,0,80.56,0,0,0,19.48,1.98,4.19,0,0.64,0.45,3.51,0,17.14,0,1.38,0,1715.19,0,0,20.07,0,1.6,0,0,24.89,0,0,0,0,4.85
120,0,0,0,26.02,3.66,13,245.48,0,0,4.86,55.94,2.91,0,0,0,6.94,0,0,33.05,0,0,0,2346.57,0,6.58,24.14,0,2.94,0,0,7.04,0,0,0,0,0
